;t0;t0;t0;;t1;t1;t1;;t4;t4;t4;;t5;t5;t5;;t6;t6;t6;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;c0;c2;c3;;
g350;0.39;-0.01;-0.25;-0.16;0.07;0;0.02;0.18;g350;0.32;-1.17;0.15;-0.44;-0.05;0.75;0.19;0;g350;0.21;0;-0.27;0.31;0.72;0.12;-0.39;0.03
g704;-0.2;-0.15;-0.2;0.49;-0.05;-0.13;0.02;-0.05;g704;-0.29;0.05;0.3;0.73;0.26;-0.58;0.15;0.48;g704;-0.19;0;0.19;0.27;0.42;-0.17;-0.21;-0.14
g715;0.3;0.43;-0.12;0;0.09;-0.03;-0.1;-0.12;g715;-1.27;-1.27;-0.57;1.02;0;0;0;1.31;g715;0.61;0.05;0.03;0.03;-0.07;-0.27;0.07;-0.17
g743;0.01;-0.06;0.21;-0.02;0.21;0.04;0.04;-0.1;g743;-0.28;0.08;-0.28;-0.09;-0.05;0.14;0.03;0.42;g743;0.03;0.21;-0.47;-0.31;-0.65;0.34;0.47;0.38
g821;0.19;-0.22;0.15;-0.09;0.31;-0.24;0.04;0.07;g821;-0.39;-0.29;0.15;0.16;0.16;0.06;0.09;-0.15;g821;-0.55;0.08;0.26;0.15;-0.04;-0.01;-0.26;-0.12
g876;-0.7;-0.13;-0.1;-0.34;0.3;0.3;0.42;-0.28;g876;-1.08;-0.35;-0.93;-0.13;0.11;0.23;0.03;0;g876;-0.37;-0.46;-0.46;-0.55;-0.31;0.9;0.77;0.59
g880;0.27;0.09;-0.17;-0.21;0.2;-0.02;0.01;-0.57;g880;0.24;-0.53;0.28;0.02;-0.25;0.19;0.1;0.14;g880;0.25;-0.05;-0.14;-0.26;-0.48;0.34;0.32;0.08
g898;-0.32;-0.06;-0.08;-0.28;-0.56;0.21;0.07;-0.03;g898;0.3;0.27;-0.45;0.05;-0.21;0.51;0.25;-0.08;g898;0.77;0.15;-0.25;-0.23;-0.19;-0.09;0.02;0.18
g905;-0.39;-0.17;0.22;-0.01;-0.11;0.43;0.25;-0.17;g905;-0.03;-0.37;-0.26;-0.67;-1.01;0.7;0.22;0.01;g905;-0.84;-0.25;0.6;0.46;0.53;-0.29;-0.53;-0.12
g916;0.36;-0.92;0.06;-0.16;0.24;0.04;0.14;0.2;g916;-0.61;0.55;-0.25;0.19;0.4;-0.42;-0.02;0;g916;-0.98;0.02;0.81;0.46;0.15;-0.32;-0.61;-0.02
g966;-0.34;-0.25;0.28;0.19;0.14;-0.34;0;-0.24;g966;-0.43;0.2;-0.42;0.13;0.33;-0.31;-0.04;0.36;g966;-0.56;0.05;0.29;-0.16;0.15;0.17;0.01;0.14
g988;0.16;0.09;0.19;0.08;0.15;-0.18;0;-0.25;g988;0.94;-0.09;-0.32;-0.12;-0.63;0.02;0.29;0.18;g988;0.09;-0.02;0.25;-0.06;0.16;-0.1;-0.57;-0.08
g1026;-0.12;0;-0.11;0.12;-0.2;-0.04;-0.11;-0.02;g1026;-0.23;-0.76;-0.28;0.04;0.35;-0.33;0.54;0.89;g1026;0.76;0;-0.43;-0.09;0.16;-0.05;-0.21;-0.03
g1183;0.33;0.47;0.32;-0.17;0.09;-0.33;0.14;-0.08;g1183;0.14;0.67;-0.4;0.33;0.19;-0.29;0.02;0.28;g1183;-0.46;-0.22;-0.16;-0.14;0.08;0.25;0.17;0.1
g1189;-0.01;0;-0.45;-0.43;-0.56;0.05;0.17;-0.14;g1189;0.19;0.19;-1.01;-0.71;-0.88;0.16;-0.28;-0.85;g1189;0.12;-0.03;0.06;-0.07;-0.07;-0.28;-0.12;0.29
g1194;-0.04;0.2;-0.43;0.25;-0.26;-0.17;0;-0.21;g1194;-0.39;0.09;-0.43;0.07;0.11;-0.05;-0.13;0.32;g1194;1.19;0.19;-0.34;-0.29;-0.15;-0.16;0;0.2
g1221;0.51;-0.05;0.19;0.16;0.4;-0.19;0.15;-0.05;g1221;0.27;0.14;-1.06;0.27;0.22;-0.51;0.27;0.59;g1221;-0.43;0.27;-0.19;-0.59;-0.54;0.5;0.82;0.61
g1229;0.11;-0.05;0.38;-0.14;0.25;-0.02;0.05;-0.28;g1229;0.56;-0.24;0.22;0.21;-0.52;0.12;-0.18;-0.06;g1229;0.68;0.13;-0.13;-0.34;-0.1;0.32;0.07;-0.07
g1234;0;0;0;0;0;0;0;0;g1234;0.02;0.33;-0.57;0;-0.14;-0.19;0.11;0.33;g1234;0;0;0;0;0;0;0;0
g1242;0;0;0;0;0;0;0;0;g1242;0.08;-0.28;-0.29;0.49;-0.37;0.01;0.12;0;g1242;0;0;0;0;0;0;0;0
g1288;0.01;0;0.34;0.32;-0.39;-0.13;-0.1;-0.2;g1288;-0.25;-0.57;0.16;0.22;0.44;0.28;0.26;0.62;g1288;0.51;0.13;0.11;-0.13;0.14;0.04;-0.11;-0.05
g1330;-0.21;-0.08;-0.03;0.15;-0.13;-0.1;-0.12;-0.21;g1330;0.62;-0.14;0.16;0.35;-0.04;-0.07;0;-0.12;g1330;0.17;0.18;0.03;-0.09;-0.18;-0.42;-0.16;-0.03
g1353;-0.27;-0.97;0.68;0.08;0.43;-0.1;0.29;-0.04;g1353;0;-3.79;0.79;0.29;0.11;0.91;1.21;-0.47;g1353;-0.02;-0.72;0.09;0.34;0.11;0.25;-0.1;-0.14
g1355;-0.17;0.86;0.02;-0.01;0.14;-0.07;0.23;-0.39;g1355;0.36;0.14;-0.17;-0.46;-0.43;0.14;-0.81;-0.01;g1355;0.14;-0.13;-0.04;-0.16;-0.18;0.08;0.2;-0.02
g1366;0.3;0.29;0.44;-0.12;0.21;-0.32;0.12;-0.23;g1366;0.59;-0.01;-0.43;-0.52;-0.82;0.72;0.21;0;g1366;0.67;0.21;-0.47;-0.92;-0.52;0.48;0.61;0.39
g1400;0;0.06;-0.14;-0.03;-0.05;0.11;0.12;0;g1400;1.04;1.31;0.55;0.66;-0.34;-0.49;-0.34;-0.83;g1400;-0.22;-0.24;0.31;-0.13;0.27;-0.05;-1.07;0.33
g1420;0.04;0.1;-0.07;-0.15;0.04;0.07;0.08;-0.07;g1420;0.14;-0.31;0.12;0.35;-0.11;0.14;0.07;0.18;g1420;0.44;0.1;-0.19;-0.16;-0.46;0.15;0.03;0.16
g1434;-0.34;0.57;-0.62;0.08;-0.43;0.08;0.09;-0.45;g1434;0.51;-0.25;-0.4;-0.09;-0.25;-0.01;-0.18;0.23;g1434;0.79;0.03;-0.34;-0.48;-0.29;0.19;0.4;0.34
g1462;-0.12;-0.34;0.21;-0.28;0.15;-0.11;-0.16;0.08;g1462;-0.03;0.52;0.57;0.62;0.04;-0.21;-0.09;0;g1462;0.05;-0.39;0.05;-0.06;-0.04;0.17;0.43;-0.09
g1517;0.13;-0.01;0;-0.04;0.35;-0.14;0.26;-0.32;g1517;-0.05;-0.3;-0.13;-0.23;0.05;0.15;-0.35;0;g1517;-0.27;0.02;-0.21;-0.18;0.12;0.33;0.2;0.06
g1519;0.28;-0.01;0;0.09;0.14;-0.19;0.06;-0.17;g1519;0.25;-0.65;-0.75;-0.04;-0.17;0.02;-0.04;0.51;g1519;0.33;0.35;0.03;-0.14;-0.09;0.01;-0.28;-0.04
g1538;0.08;0.39;0.08;-0.15;0.05;0.2;0.12;-0.04;g1538;0.31;-0.09;-1.01;0.72;0.82;0.13;-0.01;0.43;g1538;-0.09;-0.46;0.05;-0.01;0.14;-0.07;-0.01;0.32
g1568;-0.19;0.51;-0.22;0;-0.29;-0.02;0.02;-0.14;g1568;0.19;-1.35;-0.14;-0.33;-0.27;0.24;0.36;-0.02;g1568;0.47;0.16;0.03;0.14;0.01;-0.05;-0.05;-0.05
g1585;0;0.13;0.07;-0.21;0.1;-0.08;0.11;0.13;g1585;1.02;0.25;0.51;-0.61;-0.61;0.25;0.1;-0.61;g1585;0.49;0.07;-0.22;-0.22;-0.08;0.22;0.23;-0.06
g1607;0.06;0.16;0.15;-0.17;0.17;0.06;0.05;-0.15;g1607;1.19;0.42;-0.28;-0.54;-0.32;-0.36;0.68;0;g1607;0.51;-0.03;-0.14;0.07;-0.34;-0.06;-0.13;0.06
g1742;0.07;-0.66;-0.15;-0.25;0.19;0.19;0.05;-0.01;g1742;-0.56;0.21;0.29;-0.02;0.44;-0.45;0.02;-0.29;g1742;-1.92;-0.49;0.47;0.77;0.52;0.11;-0.79;0.04
g1754;-0.32;0.27;-0.36;0.34;-0.2;0.07;0.14;0.43;g1754;1.43;0.6;0.05;-0.44;-0.4;-0.1;-0.09;0.02;g1754;0.7;0.32;-0.07;-0.03;0.15;-0.18;0.03;-0.01
g1782;0.02;-0.44;0.25;0.05;0.12;0.26;0.18;-0.1;g1782;-0.34;-0.04;0.38;0.01;0;0.25;0.03;0;g1782;0.17;-0.44;0.68;0.47;0.2;-0.72;-0.55;-0.07
g1789;0;-0.47;0.02;-0.14;0.24;-0.04;0.05;0.18;g1789;-1.19;0.02;0.12;-0.11;0.12;0.2;-0.12;0.27;g1789;-1.03;-0.48;0.7;0.46;0.51;-0.03;-0.5;-0.04
g1791;0.85;0.15;0.23;-0.02;0.01;-0.1;-0.12;-0.02;g1791;0.58;0.22;0.08;0.03;0.15;-0.3;-0.06;-0.43;g1791;0.97;0.33;-0.09;-0.4;-0.24;-0.06;-0.16;-0.09
g1809;0.1;-0.25;0.16;-0.14;0.12;-0.06;-0.11;-0.24;g1809;0.32;0.1;0.11;0.08;0.17;-0.47;0.17;-0.13;g1809;0.08;-0.05;0.06;-0.05;-0.09;0.16;0.14;-0.15
g1816;0.04;0.13;-0.03;-0.2;0.16;0.13;0.22;-0.32;g1816;-0.01;0.25;-0.2;-0.43;0.04;-0.06;-0.15;0.13;g1816;-0.04;-0.35;0.08;-0.22;-0.17;0.12;-0.7;0.18
g1825;0.11;-0.36;-0.05;-0.02;-0.38;0.09;-0.15;0.1;g1825;-0.02;0.39;0.36;0.18;-0.16;-0.29;-0.09;0;g1825;-0.58;-0.11;0.67;0.47;0.22;-0.38;-0.19;-0.25
g1840;-0.03;0.06;0.1;-0.11;-0.4;-0.01;-0.08;-0.21;g1840;0.49;0.49;-0.19;-0.05;-0.51;-0.05;0.07;0.4;g1840;0.38;-0.48;0.43;-0.08;-0.02;-0.18;0;-0.12
g1879;0.15;0.35;-0.11;0.08;0.05;0;0.06;-0.32;g1879;1.69;1.17;0.04;-0.44;-0.03;-0.35;-2.03;-0.65;g1879;0.33;-0.08;-0.3;0.06;0.39;0.37;-0.22;-0.1
g1894;-0.59;-0.11;-0.21;-0.01;-0.64;0.87;0.06;-0.24;g1894;0;-0.11;-0.06;-0.69;-0.07;0.4;-0.16;-0.21;g1894;-1.09;0.14;0.14;0.36;0.23;-0.13;-0.14;-0.01
g1905;0.3;-0.07;0.19;-0.31;0.2;0.01;0.06;-0.24;g1905;-0.33;-0.04;0.16;0.07;0.24;-0.15;-0.02;0;g1905;0.08;-0.14;0.02;-0.06;-0.21;0.25;0.1;-0.11
g1909;-0.2;-0.61;0.17;0.43;0.08;-0.02;-0.03;-0.15;g1909;-0.01;-0.15;0.27;0.1;0.14;-0.24;-0.13;-0.2;g1909;-0.21;-0.19;0.05;-0.08;-0.1;0.12;-0.02;0.07
g1944;-0.2;0;-0.25;0.03;-0.22;0.13;0.06;-0.2;g1944;0.13;0.22;0.06;-0.07;0.12;0.22;0.04;-0.25;g1944;-0.2;0;0.04;0.15;0.33;-0.33;-0.25;0.03
g1959;0.17;0.25;0.03;-0.26;0.17;-0.01;0.11;-0.1;g1959;0.75;-0.02;-0.16;-0.42;0.01;-0.16;0.09;-0.02;g1959;0.42;0;-0.34;-0.36;-0.25;0.1;0.28;0.38
g1963;-0.63;-0.63;-0.63;0;-0.02;0.1;-0.28;-0.13;g1963;-0.66;-0.33;-0.18;-0.42;0.08;0.03;-0.01;0;g1963;-1.19;-0.63;-0.14;0.1;0.08;0.29;0.19;0.26
g2002;0.37;0.1;0.27;-0.32;0.13;-0.17;-0.09;-0.17;g2002;0.58;-0.01;-0.08;-0.29;-0.13;0.12;-0.02;0.31;g2002;0.72;0.32;-0.13;-0.42;-0.07;0.21;-0.17;-0.11
g2004;-0.07;-0.38;0.04;0.24;0.24;0.04;-0.23;-0.09;g2004;-0.21;0.26;0.34;0.19;0.3;-0.3;-0.24;0;g2004;-0.08;-0.05;-0.2;-0.17;-0.1;0.43;0.21;-0.05
g2048;-0.74;-0.13;-0.03;0.02;0.16;-0.29;0.42;-0.27;g2048;-0.29;-0.47;0.57;0.19;-0.2;0.08;0.22;0.28;g2048;0.18;-0.03;0.03;-0.08;0.32;-0.17;0;-0.14
g2053;0.09;0.42;-0.04;0.1;0;0.11;-0.3;-0.03;g2053;0.19;-0.42;0.03;0.08;0.11;0.31;0.16;0.31;g2053;0.57;-0.27;0.27;0.14;0.15;-0.27;-0.56;-0.44
g2057;0.08;-0.17;-0.14;-0.29;0.15;0.17;-0.11;0;g2057;-0.55;-0.36;-0.12;-0.62;-0.32;0.24;-0.5;0;g2057;-0.57;-0.75;0.46;0.49;0.06;-0.24;-0.36;-0.27
g2077;-0.09;-0.22;-0.11;0.03;0.39;0.21;0.03;-0.11;g2077;-0.3;0.05;0.2;0.26;-0.05;-0.03;0.36;0;g2077;0.06;-0.08;-0.01;-0.08;-0.11;0.08;0.13;0.03
g2109;-0.06;-0.03;-0.11;0.28;-0.18;-0.13;0.06;-0.15;g2109;0.23;0.29;-0.09;-0.3;-0.15;-0.21;-0.43;0;g2109;0.36;0.14;0.25;0.1;0.26;-0.29;-0.43;-0.12
g2134;0.07;-0.01;0.13;-0.01;-0.2;-0.12;0.16;-0.1;g2134;1.57;0.46;0.57;0.15;-0.17;0.12;-0.72;-0.56;g2134;-0.12;0.27;-0.04;-0.03;0.24;-0.19;-0.24;-0.08
g2195;0.04;-0.32;0.33;-0.81;0.08;-0.08;-0.27;0.04;g2195;-0.24;-0.33;-0.08;0.53;0.62;-0.01;0.42;0.62;g2195;0.47;-0.13;0.31;-0.04;0.16;-0.3;-0.44;-0.33
g2201;0.03;-0.44;0.2;0.07;0.01;-0.03;-0.1;0.07;g2201;-0.21;-0.24;0.3;0.07;0.11;-0.09;-0.41;-0.16;g2201;0.1;-0.15;0.24;-0.09;0.14;0.21;-0.24;-0.1
g2248;0.17;0.21;-0.04;0.08;0.1;0.06;-0.06;-0.3;g2248;-0.19;0.14;-0.06;-0.02;0.07;0.06;-0.51;0;g2248;-0.08;-0.44;0.11;0.09;-0.09;-0.02;-0.25;0.09
g2275;0.13;-0.3;0;-0.26;0.35;0.1;0.02;-0.07;g2275;0.08;0.09;0.23;0.35;-0.03;-0.1;-0.02;0.2;g2275;0.3;-0.06;0.21;0.07;-0.13;0.3;-0.06;-0.04
g2331;0.25;0.04;0.06;0.23;-0.28;-0.05;-0.45;-0.09;g2331;0.54;-0.05;-0.29;-0.21;-0.07;0.07;0.44;-0.16;g2331;0.58;-0.24;0.03;-0.12;0.03;-0.04;-0.18;0.18
g2343;0.23;-0.4;0.16;-0.25;0.21;-0.01;0.03;-0.05;g2343;-0.64;-0.28;0.13;-0.06;-0.09;0.18;-0.04;0;g2343;-0.99;-0.12;0.01;-0.26;0.04;0.4;0.31;0.27
g2360;0.05;-0.29;0.24;-0.26;0.27;0.13;0.21;-0.33;g2360;0.4;-0.49;-0.36;-0.07;0.08;0.13;0.3;0.28;g2360;0.42;0.27;-0.29;-0.39;-0.61;0.45;0.48;0.58
g2398;-0.67;0;-0.23;0.35;-0.15;0.06;-0.05;0.04;g2398;-0.25;-0.9;0.55;0.53;0.52;0.04;-0.17;0.19;g2398;0.43;-0.24;0.18;0.14;0.28;-0.56;-0.71;-0.28
g2408;-0.32;-0.65;1.17;0.44;0.37;0.92;0.81;0.12;g2408;0.06;-0.04;0.2;-0.1;-0.17;0.16;0;-0.24;g2408;-2.42;-1.68;0.44;0.43;0.25;0.87;1.07;0.96
g2424;0.11;0.25;-0.11;0.21;-0.34;0.36;0.01;-0.11;g2424;0.83;0.22;-0.69;-0.23;-0.37;0.31;0.01;0.31;g2424;0.95;0.52;-0.84;-0.48;-0.37;0.07;0.19;-0.02
g2450;-0.07;0.22;-0.18;0.19;0.08;0.03;0;-0.38;g2450;0.37;-0.16;-0.31;0;-0.11;0.23;-0.33;0.08;g2450;0.26;0.28;-0.49;-0.28;-0.17;0.21;0.44;0.2
g2472;-0.02;0;-0.34;0.24;0.09;-0.01;-0.02;-0.34;g2472;-0.12;-0.23;-0.46;-0.13;-0.09;0.44;0.18;0;g2472;0.93;0.46;-0.56;-0.25;-0.31;-0.07;0.06;-0.05
g2606;0.3;-0.09;0.33;-0.12;0.01;0.06;0.15;-0.23;g2606;0.42;0.2;-0.35;-0.5;-0.17;0.27;-0.22;0.07;g2606;0.3;0.09;-0.12;-0.26;-0.07;0;0.12;-0.2
g2620;-1.02;-0.32;0.12;0.15;-0.22;0.46;0.36;-0.16;g2620;-0.58;-0.8;0.16;-0.06;-0.19;0.18;0.1;0;g2620;-0.37;0.24;-0.71;-0.33;-0.24;0.39;0.17;0.37
g2741;-0.38;-0.24;0.07;0.17;-0.5;0.21;0.24;-0.38;g2741;0.21;-0.05;-0.45;0.15;-0.18;0.08;0.35;0.14;g2741;-0.14;0.09;-0.09;-0.16;-0.25;-0.07;0.26;0
g2762;-0.05;0.16;-0.1;-0.18;-0.38;0.23;0.14;-0.14;g2762;0.43;1.01;-0.57;-0.57;0.84;1.01;-2.16;0;g2762;0.79;-0.11;-0.39;-0.12;-0.05;0.02;-0.02;0.17
g2767;-0.29;0.47;-0.36;0.2;-0.33;-0.01;-0.04;-0.33;g2767;0.46;-0.13;-0.36;0.21;-0.28;0.12;0.4;0.09;g2767;-0.12;0.18;-0.26;-0.21;-0.08;0.06;-0.1;0.24
g2849;-0.03;0.16;0.29;0.11;0.35;-0.35;0.01;-0.12;g2849;0.45;-0.29;-0.07;0.59;-0.29;-0.29;-0.55;0.13;g2849;0.74;-0.29;0.24;0.03;0.03;-0.49;0.03;0.01
g2854;0.18;0.12;0.25;-0.11;0.17;-0.09;-0.02;-0.11;g2854;0.55;-0.45;0.45;-0.67;-0.08;-0.08;0.45;0.07;g2854;0.22;0.03;0.1;0.07;0.04;0.1;-0.24;0.17
g2858;-0.16;-0.34;0.1;0;0.29;-0.02;0.19;-0.18;g2858;-0.38;-0.44;0.08;0.15;-0.04;0.32;0.08;0;g2858;0.09;-0.34;0.14;0.21;-0.3;0.14;-0.1;-0.03
g2859;0.15;-0.27;0.08;-0.2;0.32;-0.16;0.13;-0.05;g2859;-0.42;0.33;-0.23;0.42;0.35;-0.22;-0.3;-0.03;g2859;-0.45;-0.06;0.51;0.36;0.46;-0.28;-0.38;-0.08
g2870;0;0;-0.15;0.04;0.01;0.01;-0.02;-0.2;g2870;-0.28;-0.36;-0.39;0.03;0.06;0.3;0.16;0;g2870;0.34;0.27;-0.59;-0.33;-0.13;0.28;0.29;0.23
g2898;-0.09;-0.82;0.23;-0.01;0.56;-0.34;-0.06;0.34;g2898;-0.25;0.19;0.06;0.42;0.3;-0.18;0.25;0.2;g2898;-0.25;-0.13;0.46;0.07;0.22;-0.03;-0.22;-0.11
g2945;-0.08;-0.11;0.17;-0.01;-0.06;0.3;-0.11;-0.4;g2945;-0.1;-1.06;-0.89;0.23;0.15;0.43;0.56;0.75;g2945;-0.59;-0.25;0.38;0.25;-0.05;-0.05;-0.27;0.05
g3055;-0.35;0.06;-0.16;-0.06;-0.2;0.19;0.11;0.07;g3055;-0.36;0.22;-0.42;0.35;0.48;-0.09;0.14;0.2;g3055;-0.57;-0.25;0.08;0.02;0.23;0.13;-0.14;0.28
g3088;0.04;-0.13;0.32;0.07;-0.1;0.31;0.09;-0.13;g3088;0.85;-0.17;-0.25;-0.06;-0.15;-0.04;0.29;-0.11;g3088;-1.25;-0.55;0.48;0.3;0.52;-0.08;-0.48;0.11
g3118;0.43;0.3;0.04;0;0.34;-0.28;0.12;-0.43;g3118;0.4;0.46;0.66;0.33;-0.29;0.08;-0.15;-0.32;g3118;0.93;-0.16;-0.23;-0.1;-0.05;0.26;-0.16;0
g3125;-0.21;-0.23;-0.21;0.13;-0.14;0.22;0.11;-0.12;g3125;-0.13;-0.15;0.08;0.12;0.04;0.02;0.13;0;g3125;-0.04;0.36;0.04;0.05;-0.05;-0.23;-0.11;-0.02
g3161;0.01;0.24;-0.14;-0.1;0.13;-0.04;0.03;-0.14;g3161;-0.33;-0.25;0.26;0.03;-0.04;0.38;0.39;-0.28;g3161;0.22;-0.05;0.24;0.07;0.02;-0.06;-0.29;0.04
g3178;-0.02;0.42;-0.19;0.82;-0.31;-0.4;-0.21;-0.06;g3178;0.59;-1.42;-0.33;-0.46;-0.76;0.31;0.36;0.14;g3178;1.15;0.37;-0.58;-0.53;-0.27;0.05;-0.16;0.12
g3219;0.16;-0.49;0.22;0;0.32;-0.16;0.16;-0.2;g3219;0.33;0.06;0.23;0.08;-0.08;-0.63;0.19;-0.28;g3219;0.34;-0.14;-0.04;-0.2;0.22;0.2;-0.33;0
g3287;0.04;-0.13;0.5;0.13;0.31;-0.01;0.08;-0.25;g3287;-0.69;-0.82;1.36;0.8;0.68;-0.2;-0.71;0;g3287;-0.38;-0.47;0.09;0.12;-0.16;0.03;0.34;-0.07
g3345;0.12;-0.09;-0.13;-0.23;-0.11;-0.04;0.27;0.05;g3345;-0.18;-0.07;0.06;-0.35;-0.26;0.05;0;0.35;g3345;-1.67;0.04;0.13;0.44;0.25;0.25;-0.16;-0.16
g3353;-0.14;-0.16;0.05;0.19;0.28;-0.11;0.22;-0.18;g3353;0.15;-0.14;-0.27;-0.22;-0.21;0.02;0;0.52;g3353;0.17;-0.25;-0.22;0.03;0.22;0.1;0.1;0.05
g3363;0.14;-0.36;0.1;-0.18;0.12;-0.17;0.11;-0.02;g3363;-0.46;-0.6;0.33;-0.51;-0.33;0;-0.35;0.25;g3363;-0.85;-0.22;0.25;0.37;0.24;0.18;-0.15;-0.05
g3391;-0.15;-0.4;0.17;0.04;-0.1;0;-0.1;0.14;g3391;0.53;-0.62;-0.12;0.05;0.4;-0.16;-0.29;0.01;g3391;0.08;-0.13;-0.14;0.08;-0.13;0.18;0.19;-0.21
g3404;0.18;-0.04;0.14;-0.09;0.36;-0.1;0.08;-0.4;g3404;-0.66;-0.24;0.13;-0.16;0;0.33;0.17;0.15;g3404;0.29;-0.16;-0.03;-0.21;-0.31;0.42;-0.04;0.42
g3426;-0.02;-0.44;0.08;-0.29;0.17;-0.09;0.24;-0.08;g3426;-0.03;-0.66;0.19;-0.02;0.04;0.13;0.34;0.29;g3426;0.44;-0.15;-0.12;-0.34;0.18;-0.43;0.3;0.31
g3486;-0.54;0.06;-0.07;0.08;0.15;-0.1;-0.17;-0.13;g3486;-0.35;0.11;-0.05;0.07;0.14;-0.35;-0.13;0.37;g3486;-0.21;0.54;-0.07;-0.1;0.16;-0.02;-0.94;0.09
g3558;-0.24;-0.07;-0.19;0.43;0.26;0.02;0.27;-0.24;g3558;-0.38;-0.08;0.19;0.13;-0.02;-0.12;-0.23;0.71;g3558;-0.22;-0.14;-0.14;0.02;-0.07;0.28;-0.18;0.1
g3642;0.46;-0.29;0.9;0.26;-0.23;0.83;1.03;0.95;g3642;-0.11;0.26;0.25;-0.06;-0.78;0;0.13;0.4;g3642;-1.77;-1.29;0.84;0.96;0.59;-0.24;-0.73;0.57
g3667;-0.02;-0.18;0.21;-0.14;0.36;0.11;0.27;-0.22;g3667;-0.09;-0.26;0.01;-0.07;0.1;-0.22;0.02;0.03;g3667;-0.37;-0.41;0.22;-0.05;0.2;0.11;0.21;-0.07
g3688;0.22;0.1;-0.16;0.14;-0.05;-0.01;-0.06;-0.14;g3688;-0.35;-0.13;-0.15;-0.44;-0.38;0.04;-0.09;0.08;g3688;-0.51;-0.26;0.49;0.59;0.48;-0.13;-0.69;-0.29
g3715;0.23;0.05;0.11;-0.42;0.13;0.13;-0.04;-0.27;g3715;0.44;0.55;0.39;0.39;0.84;0.56;0.91;0.06;g3715;0.83;0.08;-0.4;-0.49;-0.33;0.72;0.43;0.26
g3764;-0.17;-0.29;0.03;-0.27;0.2;0.1;0.04;-0.27;g3764;-0.34;-0.18;0.26;-0.15;-0.24;0.07;0.15;0.2;g3764;1.26;0.02;-0.59;-0.55;-0.35;0.36;0.07;0.3
g3785;0.17;-0.01;0.35;0.07;-0.18;-0.5;-0.03;-0.24;g3785;-0.44;-0.4;-0.02;-0.39;-0.22;0.13;-0.09;0.22;g3785;0.61;-0.07;-0.02;-0.35;-0.31;0.16;-0.04;0.04
g3799;0.1;-0.08;0.39;-0.2;-0.29;-0.31;0.18;-0.18;g3799;0.01;0.22;0.21;-0.09;-0.23;-0.26;-0.38;-0.04;g3799;-0.09;-0.32;0.25;-0.22;-0.24;0.05;0.09;0.07
g3804;0.16;-0.66;-0.08;0.22;0.04;0.09;-0.14;-0.02;g3804;-0.1;0.51;-0.43;-0.05;0.09;-0.19;0.61;-0.04;g3804;-0.92;0.34;0.57;0.54;0.3;-0.41;-0.74;-0.01
g3820;-0.18;-0.18;0.13;0.06;0.11;0.19;-0.06;0.09;g3820;0;-0.09;0.05;0.25;0.31;-0.22;-0.21;0.3;g3820;-0.12;0.42;0.28;0.29;0.13;-0.3;-0.18;-0.74
g3868;0;0.34;0.22;0.17;0.24;-0.27;0.1;-0.38;g3868;-0.15;-0.17;-0.05;-0.31;0.09;0.2;0.01;-0.04;g3868;0.23;-0.36;0.23;0.16;0.2;-0.2;-0.29;0.01
g3884;0.07;0;0.01;-0.06;0.12;0.12;0.2;0;g3884;-0.2;-0.44;-0.13;-0.08;0.01;-0.01;0.17;0.48;g3884;0.51;-0.37;0.03;-0.15;-0.23;-0.04;0.25;0
g3945;0.01;-0.16;-0.02;0.13;-0.07;0.06;-0.05;-0.02;g3945;-0.13;0.09;-0.08;-0.1;0.04;0;0.19;-0.02;g3945;-0.32;-0.15;0.29;0.18;0.26;-0.09;-0.17;-0.03
g3962;0.17;0.06;0.16;-0.22;0.31;-0.26;0.33;-0.22;g3962;0.32;0.25;-0.27;-0.13;-0.2;-0.03;0.05;0;g3962;0.42;-0.25;-0.22;0.02;0.05;0.08;-0.02;0.07
g3983;-0.13;-0.38;0.43;-0.03;0.29;-0.23;-0.05;-0.3;g3983;0.11;-0.41;0.24;0.01;0.07;0.03;0.15;-0.1;g3983;-0.39;-0.55;0.09;-0.32;0.09;0.27;0.07;-0.02
g3993;-0.16;0.21;-0.04;-0.09;0.24;0.02;0.19;-0.14;g3993;0.17;-0.4;-0.06;-0.07;0.13;0.1;0.24;0;g3993;-0.57;-0.29;-0.16;0.08;0.05;0.23;0.29;0.15
g4020;-0.07;0.48;-0.13;0.44;0.13;0;-0.15;0;g4020;0.33;-1;-0.23;-0.35;-0.19;0.89;0.56;0.06;g4020;0.23;-0.02;-0.42;-0.16;0.03;0.01;0.01;-0.09
g4031;0.21;-0.24;0.38;-0.05;0.51;-0.28;0.21;-0.21;g4031;-0.42;-0.38;0.14;-0.22;0.05;0.14;0.02;0.24;g4031;-0.44;-0.7;-0.07;0.11;-0.07;0.59;0.33;0.04
g4085;0.42;0.15;0.1;-0.12;0.12;-0.14;0.15;-0.18;g4085;0.54;-0.26;-0.03;0.15;0.26;-0.07;-0.04;0.05;g4085;1.09;0.2;0;-0.25;-0.19;0.1;0;-0.19
g4125;-0.01;-0.69;0.2;0.07;0.51;-0.24;0.11;-0.31;g4125;-0.44;-0.34;-0.23;0.13;0.12;-0.11;0.03;0;g4125;0.17;-0.24;0.12;-0.1;-0.08;0.06;0.34;-0.12
