;t4;t4;t4;t4;;t5;t5;t5;t5;;t6;t6;t6;t6;;t8;t8;t8;t8;;t9;t9;t9;t9;;t10;t10;t10;t10;;t12;t12;t12;t12;;t13;t13;t13;t13;;
;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;c0;c1;c2;c3;;
g2396;-0.75;0.14;0.18;0.58;0.81;0.36;-0.08;-0.45;g2396;0.51;0.56;0.81;0.78;0.33;-0.02;-0.24;-0.84;g2396;0.37;0.54;0.56;0.38;0;-0.16;-0.04;0;g2396;0.33;0.37;0.2;-0.05;0.13;-0.07;-0.52;-0.49
g2445;-0.33;0.12;-0.18;0.03;-0.12;0;0.15;-0.2;g2445;0;-0.56;0.65;0.53;-0.41;0.46;0;0;g2445;-0.2;-0.35;0;-0.71;-0.71;0.06;-0.06;0.48;g2445;0.04;0.22;0.14;-0.44;-0.49;0.16;-0.13;0.31
g2481;0.28;-0.07;0.21;0.11;-0.07;-0.08;0.17;-0.08;g2481;0.02;0.08;-0.03;-0.11;0.03;-0.33;-0.01;0.17;g2481;-0.11;-0.02;0.28;0.16;-0.45;0.24;0.09;-0.36;g2481;-0.08;-0.04;-0.01;0.11;-0.01;0.08;0.09;-0.09
g2483;-0.01;-0.23;0.11;0.16;-0.1;0.18;0.18;-0.03;g2483;0.01;0.21;-0.12;0.06;0.28;-0.14;-0.16;-0.18;g2483;-0.34;-0.2;-0.02;0.03;-0.17;0.11;0.26;0;g2483;0.81;0.43;0.3;0;0.2;0.24;-0.55;-0.16
g2490;0.1;-0.46;-0.36;0.37;0.02;-0.03;-0.42;-0.31;g2490;0.18;0.02;0.21;0.17;0.13;-0.05;-0.01;-0.05;g2490;-0.21;-0.26;0.34;0.96;0.23;0.11;0.11;-0.11;g2490;0.21;0.7;0.2;0.15;0.04;-0.04;-0.66;-0.21
g2508;-0.06;-0.23;0.09;0.25;0.1;0.19;-0.08;-0.38;g2508;-0.09;0.07;0.54;0.04;0.3;0.2;0.17;-0.87;g2508;-0.01;0.04;-0.37;-0.16;-0.09;0.21;-0.32;-0.16;g2508;-0.31;-0.22;-0.14;0.28;0.37;0.12;-0.18;0.52
g2511;0.14;-0.27;0.02;0.28;-0.07;-0.1;0.14;-0.33;g2511;0.09;-0.09;0.39;0.19;0.07;-0.05;-0.42;-0.6;g2511;0.3;0.45;-0.6;-0.42;-0.19;0.02;-0.7;-0.6;g2511;-0.26;-0.14;-0.12;0.27;0.3;-0.14;0.5;0.53
g2636;0.18;-0.21;0.27;0.37;0.24;0.09;0.26;-0.23;g2636;0;0;1.26;0;0;0;0;0;g2636;0.06;-0.04;0.49;0.03;0.07;0.02;-0.37;0;g2636;0.6;0.46;-0.08;0.07;0.3;0.02;-0.25;0.13
g2717;-0.39;0.45;-0.1;-0.18;0.18;0.15;-0.07;-0.1;g2717;-0.17;-0.35;0.31;-0.35;-0.09;0.21;-0.09;0.55;g2717;0;0.16;0.05;-0.02;-0.15;-0.15;-0.12;0;g2717;0.54;0.43;0.11;-0.48;0.01;0.04;-0.3;0.07
g2727;0.12;0.05;0.11;0.05;0.22;-0.19;0.2;-0.19;g2727;0;-0.3;0;0;-0.19;0.41;0.86;0.68;g2727;-0.16;0.01;-0.54;-0.68;-0.18;0.78;0.51;0.09;g2727;-0.12;-0.34;-0.14;0.32;0.11;0.14;0;-0.27
g2731;0.21;-0.19;0.21;0;0.11;0.01;0.24;-0.12;g2731;0;0;0;0;-1.39;1.12;0;-1.55;g2731;0.12;0.36;0.03;-0.22;-0.15;0.36;0.03;0.15;g2731;-0.41;-0.26;-0.1;0.36;0.35;0.19;0.43;0.07
g2760;0.22;-0.13;0.44;0.08;-0.05;-0.1;0.21;-0.2;g2760;0.13;-0.05;0.02;0.11;-0.85;-0.29;-0.01;0.25;g2760;-0.1;0.22;0.19;0.44;-0.65;0.14;-0.26;-0.32;g2760;0.05;-0.1;-0.17;0.01;-0.04;0.18;-0.17;-0.04
g2771;-0.07;0.35;-0.2;0.07;0.18;-0.12;-0.03;-0.18;g2771;-0.17;-0.81;0.01;-0.25;0.01;0.08;-0.08;-0.06;g2771;0.02;0.26;0;-0.1;-0.31;0.21;0.11;-0.06;g2771;0.06;-0.05;-0.19;-0.15;-0.15;0.06;-0.17;-0.12
g2810;0.18;0.13;-0.04;-0.23;0.18;0;0.19;0;g2810;0.24;-0.79;0.59;0.37;-0.65;0.17;0.63;0;g2810;0.32;0.42;0.12;0.32;-0.6;-0.19;-1.16;-0.28;g2810;0.08;-0.01;-0.16;-0.24;0.18;0.68;0.67;0.54
g2831;0.1;-0.25;0.16;0.01;0.19;-0.02;-0.02;-0.29;g2831;-0.49;0.26;-0.16;-0.38;0.43;-0.51;-0.54;-0.3;g2831;0.06;0.44;0.17;0.18;0.01;-0.01;0.1;-0.07;g2831;-0.54;-0.57;-0.41;0.02;-0.24;-0.28;0.43;0.15
g2848;0.14;-0.13;0.49;0.35;0.08;-0.06;-0.14;-0.53;g2848;0.22;1.17;0.54;0.11;0.61;-0.31;-0.68;0.24;g2848;-0.53;-0.29;-0.11;-0.12;1.06;0.35;0;0.03;g2848;1.18;0.6;-0.28;-0.62;-0.08;-0.41;0.08;0.84
g2870;-0.15;0.04;0.01;0.19;0.32;0.33;-0.02;-0.2;g2870;-0.16;0.18;-0.22;-0.33;0.22;-0.27;-0.2;0.1;g2870;-0.39;0.03;0.06;0.05;0.48;0.22;0.16;0;g2870;-0.59;-0.33;-0.13;0.22;0.21;-0.08;0.29;0.23
g2999;-0.01;-0.14;0.22;0.14;0.25;-0.12;-0.07;-0.24;g2999;0.58;0.34;0;0.37;0.02;0.36;-0.42;0.11;g2999;0.63;1.09;-0.05;-0.2;-1.37;-0.79;0.44;0;g2999;0.13;0.09;0.09;-0.02;-0.33;0.09;0;-0.08
g3054;0.36;0.36;0.02;0.06;-0.12;-0.14;-0.21;0.03;g3054;0.5;-0.19;0.38;0.56;-0.5;-0.11;0.06;-0.79;g3054;0.52;0.47;-0.05;-0.37;-0.65;-0.77;-0.71;-0.55;g3054;0.34;0.06;0.31;-0.06;-0.36;0.16;-0.21;-0.19
g3086;0.04;-0.05;-0.2;0.06;-0.24;0.49;-0.03;-0.05;g3086;-0.5;-0.12;-0.21;0.09;0.23;-0.22;-0.24;0.02;g3086;-0.16;0.2;-0.08;0.1;-0.17;-0.06;0;0;g3086;0.22;0.2;-0.05;0.04;0.08;0.2;-0.21;0.12
g3123;-0.07;0.14;0.05;-0.44;-0.34;-0.37;-0.2;-0.29;g3123;-0.08;0.14;0;0.11;0.39;0.36;-0.1;0.61;g3123;-0.18;-0.14;0.27;0.07;-0.03;-0.11;0.77;0.27;g3123;0.66;0.53;0.3;-0.05;-0.09;0.2;-0.76;-0.23
g3134;0.12;0.27;0.23;0.34;-0.16;0.01;0.15;-0.2;g3134;0.98;0.08;0.16;-0.02;-0.33;-0.08;0.49;0.08;g3134;0.47;0.45;0;-0.18;-0.63;-0.39;0.08;0.21;g3134;-0.04;0.16;0.4;-0.19;-0.16;0.12;-0.21;0.01
g3171;-0.09;0;0.2;0.02;0.26;-0.13;-0.09;-0.38;g3171;0.45;-0.38;0.78;0.4;-0.33;0.58;-0.06;-0.25;g3171;-0.06;-0.18;-0.02;0.63;-0.24;-0.09;0.31;-0.08;g3171;0.18;-0.06;-0.18;0.04;0.02;0;-0.03;0.07
g3199;-0.25;0.4;0.02;0.12;0.35;-0.06;0.07;-0.06;g3199;0.01;-0.39;0.44;-0.12;0.02;0.07;0.1;0.17;g3199;0.2;0.11;-0.04;-0.24;0.34;0.01;-0.31;0.46;g3199;0.25;0.14;0.13;-0.18;-0.28;0.19;-0.38;0.04
g3209;-0.58;-0.22;0.16;-0.16;1.02;0.88;0.1;-0.39;g3209;-0.92;-0.3;-0.7;0.41;1.26;0.47;-0.68;-0.72;g3209;-0.33;0.05;-0.15;0.68;0.88;-0.06;-0.15;0.07;g3209;0.72;0.43;0.01;-0.14;0.06;0.38;-0.16;0.44
g3228;0.07;0.16;-0.15;0.17;-0.23;0.36;-0.18;-0.08;g3228;-0.05;0.01;-0.17;-0.12;0.26;-0.01;-0.05;-0.05;g3228;-0.25;-0.85;-1.07;-0.43;-1.07;0.17;0.54;0.48;g3228;0.02;-0.06;-0.04;0.02;-0.19;-0.14;0.2;0.11
g3283;0.41;-0.12;0.08;-0.07;-0.05;-0.02;0.3;-0.4;g3283;-0.81;-0.03;-0.48;-0.75;0.66;0.03;-0.54;0.49;g3283;0.3;0.3;0.22;-0.22;-1.15;0.11;0.23;-0.05;g3283;0.39;0.48;0.14;0.13;0.26;0.06;-0.23;-0.03
g3296;-0.05;0.07;-0.02;0.15;-0.23;-0.14;0.08;0;g3296;0.3;-0.39;0.03;0.23;-0.09;-0.01;0.22;0.04;g3296;0.04;0.06;0.27;0.42;-0.36;-0.9;0.07;-0.16;g3296;0.23;0.11;-0.03;-0.27;-0.25;-0.32;-0.17;0.12
g3309;0.01;-0.08;0.13;0.16;-0.12;0.11;0.16;-0.06;g3309;-0.14;0;0.35;-0.18;0.3;-0.1;-0.06;0.26;g3309;-0.16;-0.33;0;0.19;0.32;0;0.2;-0.13;g3309;0.24;0.04;0.1;0.13;0.42;0.03;0.13;-0.12
g3422;-0.12;0.36;-0.05;-0.05;-0.18;-0.07;0.09;-0.16;g3422;-0.15;0.04;-0.05;-0.12;0.08;-0.17;-0.08;-0.07;g3422;-0.33;-0.36;-0.51;0.36;-0.53;-0.31;0.13;0;g3422;-0.08;-0.04;-0.17;-0.14;-0.25;-0.1;0.06;0.21
g3432;0.29;0.02;0.84;0.51;0.26;0.09;0.33;-0.04;g3432;-0.53;0.65;-0.56;-0.97;0.3;-0.5;-0.44;0.4;g3432;0.46;0.2;0.12;-0.46;0.2;-0.13;0;0.35;g3432;0.55;0.08;0.15;0.16;0.91;-0.08;0.03;0.55
g3563;0.13;-0.06;0.08;0.19;-0.28;0.13;-0.02;-0.06;g3563;0;-0.4;0;0;-0.04;0;0;-0.04;g3563;0.36;0.28;0.45;-0.19;-0.31;-0.48;-0.09;-0.08;g3563;0.05;-0.15;-0.19;-0.04;0.03;0.03;0.01;0.11
g3566;-1.92;0.91;-0.84;-0.1;0;0.42;0.21;-0.12;g3566;0.12;-0.21;0.15;0.47;-0.12;-0.14;0.17;-0.05;g3566;0.1;-0.1;0.24;0.2;0.37;0.69;-0.1;0.15;g3566;-0.02;-0.02;0.07;-0.38;-0.08;0.44;-0.28;0.22
g3631;-0.1;0.03;-0.1;0;-0.2;0.11;-0.05;-0.19;g3631;0.02;-0.05;-0.07;-0.05;0.25;0.02;-0.23;0.11;g3631;0.54;-0.26;-0.28;0.15;0.7;0.38;-0.02;0;g3631;-0.27;-0.11;-0.23;0.11;0.21;0.1;0.18;0
g3640;-0.17;0.43;0.14;-0.21;0.13;-0.34;-0.08;-0.5;g3640;-0.25;-0.9;0.01;-0.24;-0.45;-0.12;0.18;-0.01;g3640;0.13;-0.03;-0.22;-0.33;0.5;0.58;0.2;0.35;g3640;-0.24;-0.07;-0.31;-0.37;-0.58;0.23;-0.28;-0.33
g3680;-0.13;0.36;0.05;0.24;0.61;-0.02;0.03;-0.25;g3680;-0.18;-0.01;0.26;0.37;-0.25;0.08;0.11;-0.03;g3680;0.09;-0.36;-0.03;0.49;0.45;0.16;0.59;-0.22;g3680;-0.23;-0.44;-0.48;-0.08;-0.13;0.21;0.02;0.05
g3807;0;0.19;0.06;0;-0.06;-0.06;0.09;-0.21;g3807;-0.12;-0.18;-0.05;-0.17;0.02;-0.22;-0.09;0.26;g3807;0.06;-0.18;0.14;0.1;-0.27;0.02;0.08;0;g3807;-0.02;-0.15;-0.03;-0.29;-0.24;0.01;-0.32;-0.09
g3965;-0.02;0.09;0.24;0.19;0.03;-0.02;-0.18;-0.13;g3965;-0.39;-0.99;-0.65;-0.47;0.77;-0.2;-0.53;0.2;g3965;-0.03;-0.12;-0.2;0.27;0.41;0.19;0.1;0;g3965;0.29;-0.16;0.19;0.06;-0.09;-0.11;-0.24;0.06
g3966;-0.24;0.16;0.02;-0.18;0.18;0.13;0.43;0;g3966;-0.26;-0.27;0.47;0.49;-0.26;0.01;0.29;-0.26;g3966;-1.42;-1.06;-0.42;0;-1.06;-0.23;1.09;-0.77;g3966;-0.48;0.13;-0.42;-0.09;-0.61;0.56;-0.08;0.35
g3992;-1.04;0.03;0.5;1.19;1.06;0.33;-0.65;-0.78;g3992;0.35;1.23;1.43;1.01;-0.25;-1.09;-1.54;-0.71;g3992;-0.1;0.22;1.13;0.74;0.17;-0.15;-0.32;-0.11;g3992;-0.76;-0.61;-0.23;0.57;0.73;0.73;0.47;0.29
g4011;0.33;-0.04;0.49;0.07;-0.32;-0.38;0.18;-0.25;g4011;0.49;0.6;0.22;-0.27;-0.31;-0.79;-0.25;0.17;g4011;0.39;0.15;0.04;0.24;0.01;-0.5;0.3;-0.06;g4011;-0.3;0.07;-0.07;0.7;0.36;0.24;0.34;-0.03
g4023;0.07;-0.11;0.03;0.22;-0.08;-0.03;0.25;-0.05;g4023;-0.32;0.33;-0.72;-0.45;0.45;-0.36;-0.59;0.22;g4023;0.03;-0.1;0.07;-0.28;0.21;0;0;0.19;g4023;0.48;0.37;0.36;-0.19;0.07;0.26;-0.25;-0.29
g4025;-0.06;-0.1;-0.02;0.11;-0.08;-0.23;0;-0.36;g4025;-0.02;-0.23;-0.95;0.08;-2.06;-0.11;-0.13;0.45;g4025;0.52;0.18;0.19;-0.05;0.14;-0.44;-0.2;0;g4025;0.43;0.46;-0.04;-0.17;0.03;0.02;-0.05;-0.33
g4038;0.39;0.52;0.08;-0.12;0.27;-0.2;0.34;-0.05;g4038;0.28;-0.78;0.06;0.13;-0.28;0.5;0.19;-0.01;g4038;-0.02;-0.41;-0.59;-0.7;0.72;0.58;0.23;-0.2;g4038;0.21;0.39;0.14;0.24;0.17;0.47;-0.43;0.04
g4059;-0.21;0.1;0.07;-0.37;-0.05;0.03;0.25;0.05;g4059;-0.25;-0.01;-0.47;-0.4;0.42;-0.22;-0.21;0.39;g4059;-0.02;-0.24;-0.05;-0.15;0.53;0.26;-0.01;0;g4059;-0.49;-0.28;-0.32;-0.02;-0.42;-0.26;0.41;0.07
g4092;0.05;-0.14;0.19;0.15;-0.21;-0.25;-0.03;-0.14;g4092;0.07;-0.07;-0.1;-0.22;-0.2;-0.24;-0.15;0.48;g4092;0.05;-0.02;-0.18;0.03;-0.11;0.15;0.24;0.13;g4092;-0.1;-0.12;0.14;-0.02;-0.06;0.07;-0.18;-0.16
g4120;-0.36;0;0.15;0.27;0.21;-0.19;0.27;-0.11;g4120;0;1.39;0.13;-0.52;-0.19;-0.41;0.07;-0.19;g4120;-0.07;-0.32;-0.26;0.07;0.25;-0.38;-0.2;0.13;g4120;0.12;0.11;-0.41;0.53;-0.01;0.19;-0.47;0.25
g4509;0.16;0;0.22;-0.01;-0.03;-0.22;0.08;-0.48;g4509;-0.25;-0.09;-0.09;-0.31;-0.01;-0.33;-0.42;0.47;g4509;-1;0.05;0.23;-0.35;-0.14;0.02;-0.48;0;g4509;-0.08;0.25;-0.12;0.01;-0.13;0.21;0.06;-0.06
g4573;-0.31;0.11;0.05;0.05;-0.05;-0.07;0.16;-0.27;g4573;-0.23;-0.16;-0.49;-0.41;0.23;-0.21;0.03;0.21;g4573;-0.7;-0.13;0.22;0.19;-0.05;0.37;-0.04;-0.04;g4573;0.02;0.02;0.06;-0.67;-0.34;0.12;0;-0.03
g4635;-0.04;-0.07;0.55;0.35;0.15;0.26;0.16;-0.18;g4635;0;0.15;0.62;0;0;-0.33;0;0;g4635;-0.5;-0.25;-0.13;0.2;0.29;0.12;0.08;0;g4635;0.2;0.24;0.13;0.12;0.35;0.21;0.17;0.05
g4660;0.16;0.28;0.41;-0.16;-0.13;-0.34;0.02;-0.08;g4660;0.18;0.14;-0.14;-0.52;-0.11;-0.74;-0.45;0.3;g4660;0.06;0.14;0.14;0.06;-0.68;-0.43;0.11;0;g4660;0.1;0.2;0.4;0.27;-0.09;-0.05;-0.01;-0.15
g4712;0.05;-0.07;0.26;0.07;-0.07;0.05;0.07;-0.04;g4712;-0.22;-0.05;-0.32;0.51;0.05;-0.05;0.18;0.25;g4712;-0.34;-0.6;0.08;0;1.25;0.94;-0.11;0.6;g4712;0;0.04;0.68;-0.48;-0.4;-0.15;-0.8;0.17
g4718;0.13;-0.37;0.13;0.2;0.03;0.06;-0.09;-0.18;g4718;0;0;0;0;0;0;0;0;g4718;0.02;-0.06;0.04;-0.11;-0.23;-0.23;-0.08;0;g4718;0.29;-0.26;0.07;0.16;0.12;-0.52;0.05;-0.07
g4781;0.17;0.55;0.54;0.15;-0.02;-0.28;-0.24;-0.14;g4781;0;0;0;0;0;0;0;0;g4781;0.16;0.34;0.46;0.5;-0.31;-0.44;0.11;0;g4781;-0.29;0.05;-0.01;0.48;0.23;0;0.48;0.11
g4796;-0.09;-0.07;0.19;0.11;0.41;-0.05;0.11;-0.17;g4796;-0.28;-0.32;0.26;-0.09;-0.02;0.17;0.15;0.23;g4796;-0.65;-0.8;-1.07;0.46;-0.75;0.5;0.7;0.48;g4796;-0.19;-0.23;-0.03;0.04;0.19;0.41;0.04;0.23
g4894;0.13;0.28;-0.03;-0.05;-0.05;0.12;0.1;-0.01;g4894;-0.27;-0.75;-0.13;-0.29;-0.36;0.31;0.15;1.05;g4894;-0.14;-0.42;-0.18;0.02;-0.11;0.39;0.39;-0.05;g4894;-0.04;-0.33;0.03;0.13;0.05;0.19;0.01;0.19
g5027;0.4;0.32;0.13;-0.15;-0.18;-0.03;-0.1;-0.29;g5027;-0.12;0.08;0.13;-0.09;0.07;-0.21;0.17;-0.1;g5027;0.12;-0.09;0.01;-0.07;-0.21;-0.33;-0.13;0;g5027;-0.06;0.02;0.08;0.07;0;0.02;-0.15;0.02
g5038;0;0.08;-0.01;-0.03;-0.05;0.37;0.11;0.14;g5038;-0.12;-0.82;0.55;0.29;-0.43;0.12;0.56;-0.41;g5038;-0.09;-0.15;0.17;0.06;-0.07;0.28;0.02;0.18;g5038;0.22;0;0.1;-0.52;0.1;0.12;-0.85;0.14
g5060;0.03;0.09;0.23;-0.07;-0.3;-0.28;0.18;-0.32;g5060;0.03;-0.1;-0.34;-0.44;-0.17;0.22;0.09;0.25;g5060;-0.16;-0.05;0;-0.11;-0.01;-0.26;-0.03;0.07;g5060;-0.12;-0.09;-0.16;0.25;0.26;-0.09;0.18;0.4
g5123;0.38;-0.03;0.29;-0.09;-0.53;-0.16;-0.16;0;g5123;0;0;0;0;0.49;0;0;-0.14;g5123;0.23;0.28;0.16;0.25;-0.54;-0.48;-0.51;-0.66;g5123;0;-0.19;-0.12;0.38;0.02;0.17;-0.58;0.15
g5138;-0.12;-0.19;0.1;0.02;-0.03;-0.08;-0.02;-0.16;g5138;-0.55;0.29;-0.01;-0.2;0.09;-0.2;-0.62;-0.2;g5138;-0.55;-0.33;-0.03;0.26;-0.11;-0.2;-0.13;-0.18;g5138;0.08;0.05;-0.22;0.29;0.27;-0.18;0.03;0.26
g5229;0.3;-0.34;-0.1;0.16;-0.28;0.75;0.48;-0.1;g5229;-0.05;-0.99;-0.19;-0.12;-0.51;-0.34;-0.56;-0.65;g5229;0.62;-0.05;-0.43;-0.65;-1.39;-1.1;-0.96;-0.83;g5229;0.21;-0.49;-0.1;-0.08;-0.03;0.07;-0.22;0.05
g5270;0.09;0.2;0.45;0.19;0.25;-0.14;0.22;-0.08;g5270;0.33;-0.43;0.34;0.14;-0.03;-0.08;-0.08;0.86;g5270;0.23;0.21;0.15;0.13;0.14;-0.07;-0.01;0.08;g5270;0.32;0.16;0.05;0.06;0.37;0.26;-0.19;0.16
g5276;-0.15;0.14;0.05;-0.03;0.2;-0.05;-0.07;-0.11;g5276;-0.03;-0.21;0.45;-0.03;-0.06;0.52;0.26;0.25;g5276;-0.05;0.01;-0.07;0.04;0.56;-0.13;-0.02;0;g5276;-0.29;-0.05;-0.09;-0.01;0.12;0.07;0.07;0.06
g5282;0.02;0.07;0.16;-0.22;-0.1;-0.29;-0.2;0;g5282;-0.31;-0.42;-0.21;-0.14;0.26;0.12;-0.47;-0.47;g5282;-0.89;-0.49;-0.41;0.44;-0.06;0.04;-0.46;-0.36;g5282;0.03;0.14;0.01;-0.04;-0.05;0.01;0.05;0.05
g5305;-0.04;-0.44;0.31;0.12;0.12;-0.04;0.19;0.23;g5305;0.67;0.17;0.53;0.39;-0.45;0.23;0.19;0.05;g5305;0.2;-0.03;0.25;0.02;0.64;-0.03;0.02;0;g5305;-0.15;-0.01;-0.04;0.26;0.26;-0.06;0.3;0.06
g5313;-0.14;-0.26;-0.04;-0.1;0.15;0.09;-0.14;-0.49;g5313;-0.23;-0.5;-0.3;0.41;0.73;0.46;0;0.03;g5313;-0.55;0.06;0.02;0.16;0.54;0.24;-0.1;0;g5313;-0.31;-0.35;-0.03;0.18;0.07;-0.2;0.52;0.24
g5359;0.04;0.15;0.15;0;0.07;-0.24;-0.07;-0.07;g5359;0.04;0.39;0.43;0.15;0.02;-0.41;-0.25;-0.04;g5359;0.06;0.26;0.06;0.48;0.05;-0.24;0.14;0.36;g5359;0.31;0.26;-0.21;0.12;-0.03;0.18;0;-0.1
g5367;-0.06;0.26;0.02;-0.06;0.13;-0.32;0.29;-0.47;g5367;0.3;-0.55;0.38;0.13;0;-0.03;-0.01;0;g5367;-0.21;-0.1;-0.07;-0.15;-0.41;-0.63;-0.1;-0.55;g5367;-0.09;0.14;0.17;-0.23;0.02;0.31;-0.18;0.04
g5369;1.17;0.57;0.31;-0.68;-0.1;-0.38;0.73;0.09;g5369;-0.58;0;-0.33;-0.48;-0.2;0.65;0.51;0;g5369;0.28;-0.35;-1.16;-1.16;-0.51;1.03;1.06;-0.38;g5369;0.27;0.48;0.21;0.42;0.43;0.67;-0.55;0.21
g5435;0;-0.06;0.16;-0.07;0.07;-0.11;-0.17;0;g5435;0.2;0.14;0.39;0.1;-0.01;-0.07;0.07;0.01;g5435;0.28;0.12;0.37;0.07;0.5;-0.08;-0.52;-0.18;g5435;-0.13;0.09;-0.07;0.24;0.26;-0.15;0.07;0
g5491;-0.1;0.29;0.2;-0.09;0.34;-0.33;0.18;-0.26;g5491;-0.38;0.33;0.18;-0.68;0.17;-0.45;-0.68;0.19;g5491;-0.16;0.11;0.13;0.08;0;-0.26;-0.04;0;g5491;0.38;0.29;0.06;-0.31;0.05;0.34;-0.87;0.03
g5630;0.31;-0.06;0.06;0.09;0.06;-0.05;0.14;-0.18;g5630;-0.07;-0.3;0;-0.02;-0.24;0.14;0.27;-0.19;g5630;-0.06;0.42;0.12;0.33;-0.32;-0.14;-0.22;-0.37;g5630;0.37;0.03;-0.1;-0.03;-0.01;-0.01;-0.22;-0.12
g5644;0.1;-0.08;0.13;-0.17;-0.04;-0.39;-0.19;-0.41;g5644;0;-0.17;0;0;-0.25;0.06;0.18;0;g5644;-0.55;-1.32;-1.32;0.57;0.17;0.45;1.19;0.61;g5644;-0.33;-0.36;0.09;0.63;0.23;-0.02;0.43;0.36
g5680;-0.38;-0.06;0.01;-0.07;0.96;-0.18;0.01;-0.06;g5680;0.33;-0.25;0.76;0.07;-0.07;0.57;0.37;-0.29;g5680;0.34;-0.14;0.1;-0.01;0.52;-0.18;0.06;0.34;g5680;-0.26;-0.2;-0.2;-0.24;0.08;0.09;-0.83;-0.06
g5710;-0.02;0.03;0.23;0.18;0.13;-0.23;0.03;-0.15;g5710;0.14;-0.43;0.31;-0.03;-0.17;-0.36;-0.4;-0.12;g5710;0;0;0;0;0;0;0;0;g5710;0.19;-0.12;0.23;-0.33;-0.02;0.01;-0.26;-0.15
g5788;0.35;-0.13;0.53;0.16;-0.13;-0.04;-0.14;-0.24;g5788;-0.13;0.36;0.54;0.43;0.1;-0.24;-0.3;-0.01;g5788;-0.03;0.05;-0.11;-0.01;0.51;-0.18;-0.37;-0.03;g5788;-0.11;0.21;0.09;0.4;0.16;-0.02;0.15;-0.28
g5838;-0.16;-0.27;0.22;0.15;-0.29;-0.29;-0.05;-0.35;g5838;0.15;-0.12;0.72;0.39;-0.1;-0.03;-0.28;-0.32;g5838;0;0.24;0.38;0.49;-0.46;-0.65;-0.38;-0.35;g5838;0.32;0.29;0.09;0.05;0.05;0.03;-0.08;0.07
g5868;0.14;-0.12;0.37;0.24;-0.14;0.03;0.06;-0.32;g5868;-0.32;-0.07;0.11;-0.82;0.3;-0.17;-0.57;0.32;g5868;-0.17;-0.4;-0.2;-0.04;0.54;0.15;-0.04;0.2;g5868;0.26;0.31;-0.08;0.15;-0.03;0.13;-0.27;0.05
g5886;-0.04;-0.09;0.14;-0.04;0.03;-0.15;-0.04;-0.43;g5886;-0.48;0.16;0.1;-0.48;-0.09;-0.36;-0.31;0.33;g5886;-0.17;-0.08;0.16;-0.08;0.4;0.05;-0.24;-0.1;g5886;-0.18;-0.19;-0.19;0.07;-0.23;-0.03;0.09;0.25
g5908;0.33;0.04;0.42;0.06;-0.34;-0.14;0.3;-0.17;g5908;-0.08;0.36;0.14;-0.12;0.01;-0.08;0.25;0.2;g5908;0.13;-0.15;-0.1;-0.34;0.7;0;-0.17;0.08;g5908;0.24;0.29;-0.15;0.12;0.2;0.2;-0.17;-0.06
g5916;-0.02;-0.3;0.08;0.13;0.16;0.11;-0.03;0.17;g5916;0.26;0.25;0.24;0.15;0.28;-0.04;-0.3;-0.18;g5916;0.03;0.15;0.1;0.01;0.23;-0.04;-0.09;-0.08;g5916;0.91;0.51;0.55;-0.18;0.46;0;-0.82;-0.26
g5983;0.12;-0.19;0.21;0.2;-0.27;0.25;0.01;0.01;g5983;0.07;0;-0.61;0.03;-0.1;0.17;-0.18;0;g5983;0.11;0.14;0.08;-0.07;0.08;-0.15;0;-0.22;g5983;-0.07;-0.27;-0.37;0.25;0.4;-0.25;0.23;0.03
g5987;0.14;0.23;0.08;-0.07;-0.04;-0.39;0.1;-0.07;g5987;0.13;0;0;0.52;0;-0.69;-0.41;0;g5987;-0.06;-0.09;0.16;0.31;-0.13;-0.4;0.31;0.55;g5987;0;0.07;0.26;0.13;-0.04;-0.04;-0.31;-0.04
g5990;0.02;-0.11;0.02;0.13;0.29;0.02;0.28;-0.18;g5990;-0.14;-0.11;-0.18;0.27;0;0.18;0.07;0.04;g5990;-0.12;-0.17;-0.14;0.26;0.12;0.3;-0.27;0;g5990;0.21;-0.01;0.22;0.03;0.17;0.09;-0.23;0.27
g6043;0.07;-0.25;0.08;0.07;0.19;0.09;-0.03;0.03;g6043;-0.72;0.21;0.01;-0.56;0.37;0.87;-0.81;-0.15;g6043;-0.06;0.29;-0.07;0.39;0.03;0.13;0.22;-0.14;g6043;0.52;0;-0.15;-0.54;-0.13;0.13;-0.19;-0.17
g6159;0;0;0.14;0.16;-0.07;-0.33;0.32;-0.31;g6159;-0.47;0.04;0.03;-0.37;0.1;-0.28;-0.58;0.13;g6159;0.11;0.4;0.17;0.3;-0.1;-0.17;0.03;0.18;g6159;0.23;0.07;0.09;-0.24;-0.07;-0.07;-0.13;-0.03
