;t0;t0;t0;t0;t0;;t1;t1;t1;t1;t1;;t2;t2;t2;t2;t2;;t3;t3;t3;t3;t3;;
;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;c1;c2;c3;c4;c8;;
g247;11116.17;38907.36;25641.09;25641.09;g247;4595.65;40962.46;46764.21;10633.38;g247;31647.73;17929.69;6559.21;6559.21;g247;27689.85;27689.85;3814.16;3814.16;g247;27689.85;27689.85;8403.34;39117.84
g248;26734.7;14082.3;31498.15;8616.04;g248;8588.47;22010.78;15861.57;27049.32;g248;24164.64;33420.61;11276.49;34415.43;g248;44708.54;100.59;9145.03;32082.78;g248;43229.16;21692.57;36897.73;11213.83
g250;34400.49;8793.12;22928.25;35281.79;g250;0;17017.49;17017.49;16373.53;g250;41937.58;43520.28;9123.64;877.38;g250;11917.22;17017.49;17017.49;10820.06;g250;48052.55;17017.49;17017.49;7149.05
g253;17322.98;47062.05;39128.28;14449.88;g253;34532.76;30776.98;16694.39;22137.86;g253;27761.05;36207.56;2382.21;18116.24;g253;1213.03;19052.57;40041.33;25089.55;g253;27761.05;36207.56;2565.47;26576.77
g254;28717.25;14082.3;14677.78;22206.72;g254;8588.47;22010.78;8298.34;26221.8;g254;2422.87;50000;44600.73;9489.91;g254;24833.17;47551.08;33432.37;8647.66;g254;27963.52;2887.76;35435.25;36824.82
g263;20814.79;26852.8;40801.68;45550.64;g263;4351.65;16237.61;34230.21;24960.02;g263;13981.79;7483.9;40801.68;31692.44;g263;44001.18;30366.77;40801.68;30855.8;g263;44765.15;31105.81;26331.55;37563.01
g266;8737.47;41107.06;294.46;37123.81;g266;8036.93;41107.06;294.46;43759.58;g266;10519.59;21114.38;4864.21;38570.58;g266;28874.39;22247.5;4872.58;8819.42;g266;20696.56;41107.06;294.46;13684.61
g273;22081.67;22081.67;22081.67;48070.33;g273;3074.37;3074.37;3074.37;13043.6;g273;29614.96;29105.41;6304.3;33622.85;g273;46432.28;46432.28;46432.28;33886.6;g273;24683.76;28364.01;28995.38;18228.62
g279;41409.27;34660.37;34660.37;41409.27;g279;41409.27;8724.1;28615.06;41409.27;g279;34755.22;6216.65;36645.79;21685.68;g279;41409.27;16822.96;30915.54;41409.27;g279;43771.49;34660.37;34660.37;41409.27
g283;50000;19863.75;23025.16;7318.69;g283;26374.7;39408.69;4086.67;28427.23;g283;694.33;41038.35;694.33;24500.28;g283;10849.92;4052.14;45592.67;44385.43;g283;39497.09;21125.23;39497.09;40623.77
g292;43681.97;27249.04;50000;43681.97;g292;43681.97;9323.93;34498.93;44512.88;g292;23072.22;45145.52;0;11441.92;g292;43681.97;17702.7;3227.99;43681.97;g292;43681.97;2161.96;3329.04;42801.65
g293;37337.86;30500.24;38394.54;0;g293;4769.1;11377.86;2030.45;37037.45;g293;48321.69;49157.63;16888.74;42955.69;g293;48376.83;30544.48;9016.56;22201.4;g293;31903.13;44470.94;5866.75;26567.21
g295;38155.5;41556.85;18783.48;13424.3;g295;1499.17;33075.8;12773.99;3980.08;g295;1499.17;17109.03;1499.17;4089.4;g295;1499.17;22815.35;1499.17;25174.53;g295;475.17;19912.41;45388.04;26200.65
g302;18941.43;15604.14;20589.39;14031.06;g302;28930.78;7574.31;28292.29;45539.65;g302;31038.38;40978.36;36978.72;3450.41;g302;46685.4;43369.54;16463.15;48901.62;g302;35112.16;35112.16;7804.68;6846.51
g303;15190.16;38967.23;15692.18;31229.62;g303;11947.69;32982.04;16126.78;42632.71;g303;13848.96;33965.58;22975.42;43896.87;g303;39877.9;18634.51;22324.96;35726.45;g303;5941.78;32309.25;0;27440.63
g304;1076.42;32515.91;162.77;32399.31;g304;11931.2;4615.84;39898.38;24774.7;g304;45334.79;50000;17339.34;2386.26;g304;33355.45;37225.64;10931.5;29136.96;g304;11059.24;48474.45;10769.27;30348.56
g309;13716.68;29141.96;36389.63;46185.56;g309;3894.83;24990.29;16224.52;47810.43;g309;18384.9;50000;42590.9;48910.78;g309;39110.27;19859.78;18178.16;47096.93;g309;7402.98;36620.87;16224.52;47810.43
g310;0;21592.41;37626.65;34863.77;g310;10474.97;9270.04;15437.14;35509.05;g310;45136.87;1501.05;20861.22;19520.95;g310;13431.55;40200.2;15437.14;40200.2;g310;32326.38;47227.64;27395.79;47227.64
g315;40902.4;6784.8;16886.4;44306.03;g315;6456.54;6456.54;9103.22;15855.2;g315;47094.12;33625.24;17125.27;47883.3;g315;6309.08;8697.45;23570.16;16440.84;g315;28554.82;30220.96;1942.52;40800.26
g317;14278.96;4956.52;50000;23800.53;g317;42345.15;37235.81;13202.3;5663.93;g317;40765.75;28384.41;8316.3;26875.91;g317;37252.86;41795.19;30075.6;0;g317;9668.06;40146.75;22888.6;6068.2
g318;46458.1;46458.1;46458.1;36725.71;g318;15048.15;45217.3;23175.29;13818.28;g318;20881.07;15573.21;20881.07;12320.19;g318;45100.2;1511.99;590.16;34951.57;g318;33831.62;24480.43;6557.97;48873.32
g319;29442.66;39969.22;28052.99;11514.62;g319;27564.12;22676.05;44146.78;3397.09;g319;22853.64;39969.22;28052.99;27070.86;g319;3104.09;14391.14;49210.9;13032.88;g319;42330.78;42031.55;6440.06;31377.38
g325;42643.19;41892.8;27009.48;31526.47;g325;3705.67;44108.09;37497.85;10442.81;g325;50000;3892.05;33202.49;7590.52;g325;13803.04;3892.05;44363.01;18100.68;g325;24640.39;20963.93;50000;685.23
g327;10130.62;37686.09;32626.02;26721.92;g327;10130.62;6078.91;3234.91;48450.36;g327;10130.62;50000;45230.62;30756.19;g327;31480.78;47001.6;25253.25;26678.53;g327;10130.62;28610.18;503.54;42902.02
g329;6729.61;2010.15;20661.75;15941.07;g329;28571.59;33716.4;43882.46;18909.93;g329;40904.51;9206.81;28583.28;17312.49;g329;24981.49;9458.09;28583.28;17312.49;g329;41738.48;18150.64;14475.97;45766.95
g330;46656.08;782.1;45550.4;48880.7;g330;41630.94;20305.53;6451.49;37774.68;g330;27740.75;18440.69;3068.24;26486.09;g330;50000;9982.37;23924.68;23924.68;g330;41126.16;25270.85;34910.08;23923.7
g331;41523.35;15655.15;49009.07;4038.24;g331;15324.81;29626.26;30993.4;32831.19;g331;47235.57;33991.76;10128.21;2701.55;g331;5346.04;30021.37;33840.69;11505.25;g331;23478.42;20475.45;30434.76;50000
g341;7625.13;27219.36;25929.18;24175.02;g341;3811.08;11931.44;42395.58;22108.04;g341;38243.57;18622.22;7565.7;36513.71;g341;9849.57;10805.36;22018.45;1747.24;g341;17800.31;27955.69;27219.36;13797.22
g342;22393.17;18605.16;12571.67;22393.17;g342;22393.17;35318.78;40804.24;22393.17;g342;35212.51;14005.19;30748.27;45622.94;g342;22393.17;48718.9;45156.52;22393.17;g342;22393.17;21314.65;0;22393.17
g345;50000;50000;20390.49;7849.07;g345;39349.51;14702.49;3152.83;34282.21;g345;20622.51;28384.41;33635.88;0;g345;8668.46;43401.3;0;27165.84;g345;0;40146.75;7025.16;18069.26
g349;12522.97;20473.09;33154.43;46924.57;g349;48579.99;4812.17;33154.43;6325.63;g349;45076.6;12205.86;6679.11;17722.79;g349;4791.93;24670.09;33154.43;14744.39;g349;7077.96;14406.04;29992.96;38483.96
g351;21201.42;5411.73;0;45813.52;g351;0;6227.04;7326.16;47845.37;g351;10740.38;0;40743.53;44727.13;g351;38249.05;40200.2;33979.81;40200.2;g351;10740.38;47227.64;37813.98;47227.64
g353;35625.63;35240.89;35240.89;35240.89;g353;39652.17;35240.89;35240.89;35240.89;g353;1663.18;35240.89;35240.89;35240.89;g353;22674.54;38648.8;16291.13;3399.2;g353;22674.54;38648.8;14348.69;31092.61
g358;7560.71;40036.7;40036.7;6450.92;g358;26306.11;19456.21;18013.83;16597.18;g358;11742.36;41026.71;36889.84;34607.2;g358;48655.68;24394.2;27872.39;21335.44;g358;46866.64;40036.7;40036.7;29843.04
g359;50000;40528.61;17036.97;45227.38;g359;17535.35;50000;0;48253.29;g359;44378.24;42673.49;44869.8;49591.6;g359;35108.94;18445.7;22377.46;30332.28;g359;3530.61;38650.67;38650.67;38650.67
g363;10130.62;39006.85;36605.98;39006.85;g363;10130.62;39006.85;40745.76;39006.85;g363;10130.62;32781.15;21325.34;6456.18;g363;50000;26226.72;30743.93;49348.81;g363;10130.62;29098.57;50000;38442.05
g364;2921.29;44373.2;13857.45;47246.84;g364;48004.14;41366.74;77.25;26717.19;g364;48811.19;11094.28;16238.65;46299.97;g364;39356.89;11289.93;49272.17;1371.95;g364;40484.61;49189.49;3639.11;2221.62
g365;38304.64;19389.07;49758.59;43093.48;g365;27150.92;36823.04;49452.45;33304.96;g365;6536.1;5087.13;82.22;28031.91;g365;50000;44391.81;19003.25;7812.66;g365;21088.84;48441.36;48441.36;48441.36
g368;6831.54;44068.61;42381.7;31854.83;g368;23526.2;44802.58;30461.2;49345.07;g368;34256.65;40170.78;6053.01;25025.5;g368;8472.99;29013.87;42610.07;0;g368;48981.96;32155.73;34932.88;31029.88
g369;44633.19;3170.42;21595.49;38011.6;g369;39885.29;39898.78;49129.5;13043.6;g369;15241.54;28491.93;4412.45;19085.42;g369;19916.22;37407.97;11126.05;13354.37;g369;19916.22;37407.97;11126.05;18228.62
g371;35903.62;27894.28;47041.28;38119.71;g371;3818.03;22377.24;41187.59;50000;g371;33528.56;28384.41;34822.13;31303.37;g371;7563.46;41795.19;7563.46;30414.08;g371;31435.47;7836.17;31435.47;8298.36
g372;4009.67;5973.38;49181.7;1305.51;g372;9074.41;5973.38;2581.6;20048.59;g372;41990.15;47486.7;44562.34;15501.17;g372;3258.16;18135.84;3562.5;39337.81;g372;35663.04;5973.38;10711.47;17826.29
g379;22620.04;49688.28;40801.68;17162.51;g379;36420.27;50000;10038.58;0;g379;21991.9;17841.55;40801.68;15150.79;g379;6568.67;30392.53;40801.68;35306.36;g379;32747.6;38289.68;24576.63;19160.97
g381;0;41284.65;8091.1;38279.97;g381;43843.62;43843.62;8091.1;38279.97;g381;42182.01;2734.06;23835.44;43729.53;g381;36049.7;44257.25;7012.38;30860.75;g381;19251.36;5872.41;8091.1;38948.18
g382;12639.45;44081.26;43053.98;43016.5;g382;41026.5;17140.79;41026.5;41026.5;g382;49246.93;28384.41;49246.93;49246.93;g382;50000;41795.19;17213.48;29237.18;g382;6532.89;40146.75;6532.89;6532.89
g383;36075.31;41278.61;5192.89;25552.13;g383;23329.36;41278.61;48194.12;42384.8;g383;19077.93;29361.58;39584.3;5353.41;g383;22684.96;12503.28;17227.41;4505.06;g383;36466;41278.61;8043.49;47812.32
g392;29805.7;22816.61;11245.35;25291.92;g392;16959.53;28059.56;2160.5;25072.86;g392;14054.75;28688.67;14054.75;27697.29;g392;28892.88;7517.15;28892.88;43450.65;g392;43167.77;33736.29;9214.93;6482.34
g393;11001.38;8100.62;37802.56;35721.84;g393;13828.37;40620.38;4674.01;42232.63;g393;34182.6;15091.25;40038.94;48846.38;g393;21916.26;7520.69;21754.79;34889.58;g393;9181.4;36716.33;28894.75;43304.42
g405;5668.8;41477.75;17213.05;42266.78;g405;19407.17;43800.51;19407.17;28393.46;g405;19407.17;46385.28;19407.17;7212.25;g405;19407.17;46385.28;19407.17;34338.43;g405;38452.21;32966.08;45345.64;48274.09
g408;14337.2;0;30982.26;27455.11;g408;36428.01;32624.88;30982.26;27455.11;g408;49063.54;7426.26;30982.26;27455.11;g408;3726.51;46521.38;43396.92;43396.92;g408;26582.03;23079.92;39746.63;50000
g411;40240.65;4728.17;18373.51;44395.63;g411;7493.14;19749.41;19749.41;19749.41;g411;34469.03;6539.88;6539.88;6539.88;g411;34121.72;30159.92;37516.79;47056.01;g411;11292.87;7810.85;7810.85;7810.85
g412;7323.48;28937.28;30982.26;25802.44;g412;40336.94;41716.57;30982.26;27455.11;g412;9272.95;35196.8;30982.26;27455.11;g412;50000;21593.64;30074.11;41815.9;g412;20267.25;25353;14058.78;3025.27
g438;28347.15;28180.98;13857.45;17560.72;g438;46188.87;32238.01;35035.76;24052.49;g438;6749.23;38717.26;16238.65;44867.85;g438;17966.74;35819.04;49272.17;1371.95;g438;48104.09;17446.18;23039.74;42048.99
g440;43779.31;50000;13174.1;29225.79;g440;49718.28;11697.23;1485.15;22559.74;g440;10740.38;8006.13;48794.85;33034.17;g440;30801.95;41201.07;38873.71;41414.66;g440;10740.38;29857.91;25074.5;25216.18
g441;39089.36;34119.02;41877.17;21923.56;g441;19204.67;1463.76;20596.35;18326.72;g441;30195.05;12205.86;40738.62;8616.05;g441;25371.68;49154.32;3121.91;23482.4;g441;15144.55;17864.45;5247.89;3883.12
g443;21248.28;11483.92;43930.05;26476.5;g443;30590.13;12847.45;46447.69;4956.04;g443;45194.6;28832.57;27310.44;44987.11;g443;698.44;27557.31;30145.75;15436.8;g443;20628.95;47926.83;14321.91;3767.34
g444;6955.69;20031.36;12539.8;50000;g444;8002.16;22004.55;49989.54;33974.97;g444;0;6920.83;14258.76;41145.62;g444;16358.93;17485.56;10504.99;19808.62;g444;27878.87;16837.76;49989.54;33974.97
g447;8654.33;17205.67;45123.07;3149.29;g447;0;17205.67;42809.25;17656.03;g447;27914.62;39852.13;32742.44;31120.63;g447;13115.21;1441.85;377.63;24690.91;g447;3710.13;17754.83;33908.73;38915.58
g448;22081.67;22081.67;18984.29;18083.96;g448;3074.37;752.08;3074.37;22987.9;g448;40895.92;36041.95;3528.82;15970.34;g448;46288.24;46432.28;46371.62;33571.81;g448;17482.78;34701.1;45199.84;40792.04
g453;34560.76;25682;24606.58;25682;g453;27458.79;10972.55;35536.67;19057.58;g453;0;11321.37;8233.1;7509.28;g453;1650.6;48743.82;35927.73;45176.06;g453;8152.69;25682;10883.16;25682
g454;39885.06;18399.24;22743.29;21201.8;g454;28989.4;22178.65;28989.4;24495.69;g454;28989.4;35149.67;28989.4;26223.57;g454;28989.4;32639.28;28989.4;8464.71;g454;25914.81;42251.88;26064.86;13176.21
g455;37036.19;45721.47;47433.03;27427.59;g455;19862.93;36623.4;8182.86;21641.23;g455;0;36623.4;8182.86;42756.86;g455;18808.41;14293.26;25162.04;33618.75;g455;21641.23;31764.56;487.5;21641.23
g464;36878.87;18914.2;10758.23;33089.99;g464;26946.39;17017.49;17017.49;43572.98;g464;26471.46;16458.17;15985.26;15386.34;g464;7116.62;17017.49;17017.49;12866.05;g464;22232.44;17017.49;17017.49;36555.01
g469;36299.23;33666.49;473.46;34776.04;g469;7669.52;35102.31;29071.36;0;g469;42070.22;33666.49;10526.53;48620.44;g469;27100.56;33666.49;27100.56;33666.49;g469;3209.52;33666.49;46762.54;33666.49
g471;10992.04;13843.03;29268.7;28044.5;g471;4194.26;35720.08;5808.71;4194.26;g471;30658.66;21584.76;30658.66;30658.66;g471;46013.68;21584.76;4062.01;10290.42;g471;46654.23;45556.24;46654.23;46654.23
g474;39422.05;48848.16;6028.7;32315;g474;11748.83;1017.62;7146.65;32315;g474;31567.34;686.39;7393.55;19579.01;g474;34612.28;29558.38;11411.98;48679.38;g474;1317.96;33370.56;6028.7;32315
g475;10130.62;7551.27;7551.27;7551.27;g475;10130.62;8090.77;44858.25;7551.27;g475;10130.62;2424.04;8565;43026.07;g475;40991.04;15630.81;3324.29;13519.51;g475;10130.62;3635.99;43094.39;31544.75
g476;42822.89;36472.46;36472.46;36472.46;g476;11182.43;36472.46;36472.46;36472.46;g476;17381.31;36472.46;25710.08;36472.46;g476;27689.85;27689.85;45922.23;43898.48;g476;27689.85;27689.85;39056.97;11392.85
g480;13153.58;21236.09;50000;42858.87;g480;18689.37;2025.6;31757.75;24937.11;g480;38160.68;4919.82;34389.32;47458.3;g480;21934.77;40200.2;5069.61;40200.2;g480;2069.41;47227.64;45318.72;47227.64
g481;20552.8;15351.9;33791.73;37300.45;g481;21777.1;8245.7;0;29800.44;g481;2886.32;43071.74;50000;2061.06;g481;38954.46;20826.81;46172.82;29981.09;g481;36314.8;10388.11;10388.11;10388.11
g488;30676.48;43142.67;43142.67;43142.67;g488;8482.53;43142.67;43142.67;43142.67;g488;6820.74;43142.67;43142.67;43142.67;g488;27689.85;27689.85;40945.88;40119.76;g488;27689.85;27689.85;13934.74;2820.41
g496;44828.21;26895.89;26895.89;40966.01;g496;11339.28;45348.2;11339.28;50000;g496;11339.28;50000;11339.28;37349.06;g496;11339.28;32819.07;11339.28;35900.45;g496;50000;26895.89;26895.89;9989.86
g499;46592.42;1569.74;12716.95;12716.95;g499;17823.38;32884.25;20685.33;14541.93;g499;27899.28;25795.87;10799.94;10799.94;g499;25646.01;33794.53;39079.6;39079.6;g499;37931.86;14904.12;47743.65;28892.61
