;t4;t4;t4;;t7;t7;t7;;t8;t8;t8;;t9;t9;t9;;t10;t10;t10;;t11;t11;t11;;t12;t12;t12;;t13;t13;t13;;
;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;c0;c1;c3;;
g1200;-0.08;-0.29;0.17;0.14;-0.01;-0.08;0.2;-0.35;g1200;-0.49;0.02;-0.11;0;-0.38;0;-0.42;0.19;g1200;-0.22;0.07;-0.08;-0.22;0.05;0;0.13;0.13
g1201;-0.04;-0.04;0.08;-0.14;-0.07;-0.07;0.25;-0.21;g1201;-0.03;0.32;0.23;-0.05;-0.33;-0.1;-0.12;-0.25;g1201;-0.19;-0.4;0.07;-0.19;0.07;-0.19;-0.01;-0.05
g1202;-0.03;-0.4;-0.07;0.35;0.02;0.12;0.1;-0.4;g1202;-0.66;-0.03;0;0;-0.05;0.13;-0.37;-0.22;g1202;-0.46;0.04;0.08;-0.07;-0.19;0.24;0.38;0.4
g1203;0.11;-0.13;0.12;0.15;0.23;0.2;0.39;0.01;g1203;0.43;0.39;-2.28;0.15;0.16;0.24;0.36;-0.15;g1203;-0.15;-0.32;0.24;0.12;-0.2;0.26;0.3;-0.01
g1204;0.22;-0.05;0.23;0.22;0;-0.15;0.11;-0.03;g1204;-0.07;0.05;0.05;0.03;-0.16;-0.25;0.75;-0.3;g1204;-0.14;0.08;0.16;0.21;-0.18;0.17;-0.08;0.1
g1205;0.04;-0.23;0.01;-0.36;0.86;-0.5;0.04;-0.62;g1205;-0.04;0.25;-0.27;-0.02;-0.74;0.19;-0.08;0.25;g1205;0.01;-0.21;0.22;0.15;-0.13;-0.45;-0.64;0.03
g1206;0.14;0.37;0.08;0.18;0.14;0.02;0.01;-0.51;g1206;0.07;0.23;-0.18;-0.02;-0.48;-0.23;-0.18;0.14;g1206;0.12;-0.01;0.2;0.23;-0.2;0.31;-0.67;-0.2
g1207;0.23;-0.01;0.11;-0.06;-0.03;-0.28;0.12;-0.14;g1207;0.08;0.09;-0.49;-0.11;-0.47;0.21;-0.32;0.28;g1207;0.09;-0.08;-0.13;-0.22;0.18;0.18;0.13;0
g1208;-0.25;-0.08;0.32;0.32;0.29;-0.29;0.15;-0.18;g1208;0.11;-0.32;-0.24;-0.45;-0.52;0.03;-0.16;-0.36;g1208;-0.18;0.17;-0.12;0.1;0.16;0.03;0.11;0.04
g1209;-0.14;-0.12;0.38;-0.12;0.41;0.02;0.06;-0.07;g1209;0.01;0.08;-0.45;0.13;-0.01;-0.06;-0.33;0.13;g1209;0.17;0.04;-0.04;0.31;-0.04;0.1;-0.08;0.04
g1210;-0.28;0.02;0.35;0.4;0.56;0.03;0;-0.24;g1210;-0.12;0.02;-0.52;-0.02;-0.54;0.02;-0.18;-0.12;g1210;-0.24;0.22;-0.11;0.2;0.08;0.01;0.11;0.06
g1211;-0.21;0.15;0.45;-0.1;0.05;-0.01;-0.02;-0.1;g1211;0.04;-0.21;-0.39;-0.05;-0.05;-0.25;-0.07;0.31;g1211;0.08;-0.12;-0.01;0.16;-0.15;0.1;-0.07;-0.05
g1212;0.05;-0.03;0.32;0.21;0.06;-0.38;-0.18;-0.56;g1212;-0.31;-0.68;-0.06;-0.68;-0.68;-0.55;-0.95;-0.42;g1212;-0.41;0.08;0.09;0.03;-0.43;0.19;0.65;0.54
g1213;-0.67;0.04;-0.21;0.16;0.19;0.15;0.04;-0.06;g1213;0.53;-0.21;-0.12;-0.25;0.04;-0.85;0.92;0.27;g1213;-0.03;-0.08;-0.22;-0.28;-0.17;-0.1;0.98;-0.05
g1214;-0.06;0.05;-0.16;0.29;0.41;0;-0.25;-0.25;g1214;-0.02;0.06;0.07;0;-0.2;-0.32;-0.16;-0.09;g1214;-0.18;0.44;0.29;-0.08;0.33;0.1;-0.33;-0.02
g1215;0.01;-0.15;0.52;-0.04;0.44;-0.22;-0.14;-0.09;g1215;-0.41;0.08;-0.41;0.53;0.01;0.4;-0.17;0.3;g1215;0.19;-0.3;0.13;0.38;0.08;0.11;-0.33;-0.03
g1216;0;0;0.23;0.24;0.36;0;-0.23;-0.15;g1216;0.05;-0.36;0.87;-0.9;0.54;-0.44;0.56;-0.01;g1216;-0.15;0.43;0.16;-0.43;0.19;-0.38;0;0.23
g1217;0.16;0.04;0.34;-0.29;-0.12;0.27;0.04;0.09;g1217;0.17;0.24;-0.81;0.08;-0.15;0.32;0.08;0.16;g1217;-0.45;0.1;0.03;0.03;0.18;0.08;-0.02;-0.1
g1218;-0.15;-0.08;0.15;0.32;0.16;-0.08;-0.08;-0.15;g1218;-0.14;-0.21;0.29;-0.37;-0.02;0;0.38;-0.16;g1218;-0.07;0.09;-0.04;-0.02;0.13;-0.23;0.01;-0.21
g1219;0.21;0.1;0.47;-0.35;0.21;0.07;0.17;-0.21;g1219;0.44;-0.09;0.22;-0.28;0;0.16;0.26;0.49;g1219;-0.21;-0.01;-0.07;0.03;-0.07;0.25;0.46;0.19
g1220;0.75;-0.44;-0.22;0;-0.26;0.06;0.39;-0.04;g1220;0.07;-0.31;0.14;-0.01;0.02;-0.09;0.28;-0.15;g1220;-0.11;0.15;0.38;0.23;0.08;0.06;0.13;0.28
g1221;0.19;0.04;0.09;-0.05;-0.37;-0.19;0.15;-0.05;g1221;0.28;-0.26;0.59;-0.08;0.03;0.18;0.06;-0.13;g1221;-0.19;-0.33;0.1;-0.33;-0.35;0.5;0.82;0.61
g1222;1.3;-0.08;-0.13;-0.72;-0.75;-0.26;0.98;0.94;g1222;0.39;-1.59;-1.93;-0.88;-0.61;1.13;1.05;1.84;g1222;-0.02;1.1;0.74;0.64;0.68;0.46;0.1;-0.48
g1223;1.4;0.08;-0.18;-0.82;-0.9;-0.46;0.98;1.15;g1223;1.11;-1.53;-1.79;-0.82;-0.23;1.25;1.37;1.8;g1223;-0.23;0.84;0.87;0.47;0.55;0.76;-0.08;-0.78
g1224;0.08;-0.32;0.21;0.04;0.13;-0.02;0.25;-0.23;g1224;-0.31;0.36;-0.27;0.26;-0.61;0.21;-0.61;0.21;g1224;-0.12;0.58;0.49;0.41;0;0.22;0.58;0.35
g1225;0.04;-0.03;-0.13;-0.01;-0.13;0.09;0.09;-0.17;g1225;0.16;0.03;0;0.11;-0.21;0.36;-0.25;0.11;g1225;0.31;0.03;-0.03;0.32;-0.29;-0.08;-0.5;-0.07
g1226;-0.09;-0.13;-0.04;0.16;0.11;0.01;-0.02;0.06;g1226;-0.25;0.25;-0.25;0.23;-0.31;-0.04;-0.41;0.14;g1226;-0.07;0.05;0.12;-0.04;0.05;-0.26;0.21;-0.02
g1227;0.15;-0.14;-0.03;-0.03;0;0.05;0.08;-0.21;g1227;-0.11;0.28;-0.3;0.33;-0.05;0.22;-0.5;0.05;g1227;-0.12;-0.1;0.07;0.01;-0.25;0.23;0.27;-0.05
g1228;0.1;-0.32;0.11;-0.01;0.33;-0.16;0.16;-0.32;g1228;-0.23;0.1;-0.06;0.08;-0.22;-0.2;-0.39;-0.25;g1228;-0.18;0.15;0.13;0.12;0.1;0.19;0.33;0
g1229;0.38;-0.09;0.14;0.01;0.04;-0.02;0.05;-0.28;g1229;0.05;0.22;-0.17;0.3;-0.47;0.07;-0.36;0.07;g1229;-0.13;-0.22;-0.03;-0.17;-0.21;0.32;0.07;-0.07
g1230;0.14;-0.3;0.24;-0.21;0.1;-0.02;-0.05;-0.24;g1230;0.34;0.08;0.55;-0.05;-0.22;-0.11;0;-0.33;g1230;0.24;0.22;0.07;0.11;-0.34;-0.05;-0.33;-0.21
g1231;0.06;0.1;0.24;-0.06;0.1;-0.26;0.06;-0.2;g1231;0.54;0.25;0.71;0.24;0.45;0.12;0.35;-0.35;g1231;-0.03;-0.11;-0.13;-0.13;-0.05;0.34;0.04;0.16
g1232;-0.63;-0.11;0.24;0.39;0.46;-0.11;0.09;0.13;g1232;0.26;0.43;-0.29;0.21;-0.24;-0.1;-0.33;-0.26;g1232;0.55;0.55;0.19;0.43;-0.01;-0.23;-0.64;-0.22
g1233;0;0;0;0;0;0;0;0;g1233;0.06;-0.57;-0.04;0.1;0.56;0.43;0.28;0.19;g1233;0;0;0;0;0;0;0;0
g1234;0;0;0;0;0;0;0;0;g1234;0.31;0;0;-0.02;0;0;0;0;g1234;0;0;0;0;0;0;0;0
g1235;0;0;0;0;0;0;0;0;g1235;-0.59;0.01;-0.24;0.36;-0.16;0.35;-0.12;0.11;g1235;0;0;0;0;0;0;0;0
g1236;0;0;0;0;0;0;0;0;g1236;0.01;0.06;-0.09;-0.15;0.53;0.01;0.13;0.37;g1236;0;0;0;0;0;0;0;0
g1237;0;0;0;0;0;0;0;0;g1237;0.11;-0.22;0.33;-0.35;-0.13;0;0.16;-0.07;g1237;0;0;0;0;0;0;0;0
g1238;0;0;0;0;0;0;0;0;g1238;0.01;0.15;0.37;-0.23;-0.14;0.53;0.03;-0.23;g1238;0;0;0;0;0;0;0;0
g1239;0;0;0;0;0;0;0;0;g1239;0;0;0.3;-0.28;0.49;0.6;0.44;0.41;g1239;0;0;0;0;0;0;0;0
g1240;0;0;0;0;0;0;0;0;g1240;-0.07;0.06;0.04;-0.63;1.26;1;0.15;-0.23;g1240;0;0;0;0;0;0;0;0
g1241;0;0;0;0;0;0;0;0;g1241;0.5;0;0.72;-0.38;0.48;0;0.78;-0.12;g1241;0;0;0;0;0;0;0;0
g1242;0;0;0;0;0;0;0;0;g1242;-0.05;-0.43;-0.39;0.11;0.21;-0.07;0.17;-0.59;g1242;0;0;0;0;0;0;0;0
g1243;0;0;0;0;0;0;0;0;g1243;0.32;0.1;-0.08;-0.28;-0.32;0.55;0.52;0.3;g1243;0;0;0;0;0;0;0;0
g1244;0;0;0;0;0;0;0;0;g1244;0.11;-0.17;-0.15;-0.07;0;0.37;0.07;0.19;g1244;0;0;0;0;0;0;0;0
g1245;0;0;0;0;0;0;0;0;g1245;0.24;-0.19;-0.22;0.2;0.07;0.43;0.51;0.12;g1245;0;0;0;0;0;0;0;0
g1246;0;0;0;0;0;0;0;0;g1246;-0.39;0;0.16;-0.59;-0.22;0;0.14;-0.32;g1246;0;0;0;0;0;0;0;0
g1247;0.04;-0.06;0.38;-0.04;0.22;-0.17;0;-0.34;g1247;0.2;-0.06;0.59;-0.22;0.31;-0.22;0.13;-0.53;g1247;0.15;0.03;0.01;0.08;0.03;-0.06;0.13;0.03
g1248;-0.3;-0.22;0.14;0.42;0.27;0.23;0.11;-0.09;g1248;-0.01;-0.62;0.62;-0.65;0.28;0;0.54;-0.13;g1248;-0.21;0.18;0.08;0.08;-0.04;-0.04;0.22;0.2
g1249;-0.11;-0.54;0.25;0;0.3;0.14;0.12;-0.41;g1249;-0.29;-0.27;-0.18;0.13;0.23;0.19;0.26;0.37;g1249;-0.35;0.02;0.12;-0.09;0.04;0.31;0.39;-0.01
g1250;-0.12;-0.08;0.17;0.28;0.19;-0.29;0.06;-0.17;g1250;0.38;-0.16;0.21;-0.64;0.22;0.02;0.12;-0.21;g1250;-0.39;0.12;0.04;0.19;0.09;0.09;0;-0.01
g1251;0.17;0.24;0.08;-0.26;0.23;-0.11;0.2;-0.05;g1251;0.71;-0.05;0.22;-0.59;0.01;-0.39;0.53;0.08;g1251;-0.02;0.25;-0.31;-0.06;0.18;-0.27;-0.08;0.08
g1252;-0.35;0.17;0.04;0.28;0.11;-0.16;0.03;-0.21;g1252;-0.12;-0.35;-0.24;-0.43;0.11;-0.15;0.19;0.19;g1252;-0.55;-0.13;-0.1;-0.06;0.03;0;0.21;0.03
g1253;0.15;-0.2;0.19;-0.4;0.43;0.02;0.16;-0.45;g1253;0.01;-0.19;0.03;-0.17;-0.14;-0.05;0.34;0.28;g1253;-0.2;-0.04;0;-0.28;-0.02;0.19;-0.04;0.05
g1254;-0.16;-0.12;0.13;0.49;0.45;0.01;0.2;-0.26;g1254;-0.26;-0.24;-0.24;-0.2;0.12;-0.01;0.17;0.32;g1254;-1.04;0.29;0.5;0.08;-0.03;0.78;1.2;0.54
g1255;0.07;-0.03;0.19;-0.24;0.61;-0.09;0.07;-0.23;g1255;-0.46;0.18;-0.05;0.27;-0.11;-0.13;-0.09;0.24;g1255;0.25;0.1;-0.12;0.08;0.05;-0.04;-0.04;-0.28
g1256;-0.03;-0.25;-0.2;0.11;-0.16;-0.24;-0.24;-0.2;g1256;0.07;0.16;-0.24;-0.09;-0.5;-0.41;-0.32;-0.21;g1256;-0.96;-0.33;-0.2;-0.44;-0.28;0.45;0.57;0.34
g1257;0.09;-0.02;0.37;-0.13;0.29;-0.11;0.02;-0.34;g1257;0;0;0;0;0;0;0;0;g1257;-0.21;0.19;0.01;0.1;0.09;0.21;0.12;0.01
g1258;0.06;-0.32;0.12;0.16;0.04;0.18;0.09;-0.3;g1258;-0.61;0.05;-0.27;0.26;0.01;0.13;-0.06;-0.23;g1258;0.02;0.34;0.16;0.18;-0.15;-0.15;0.05;0.36
g1259;0.29;-0.12;0.03;-0.2;-0.18;-0.46;0;0;g1259;0.48;-0.2;-0.6;-0.26;-0.39;0.32;0.19;0.22;g1259;0.03;0.11;0.37;0.28;0.13;0.82;0.45;0.22
g1260;0.27;-0.11;-0.01;-0.19;-0.1;-0.06;0.04;-0.21;g1260;0.32;0.17;-0.4;0.32;-0.14;0.18;0;-0.26;g1260;0.04;-0.44;-0.31;-0.22;-0.4;0.26;0.04;0.01
g1261;-0.01;-0.05;-0.05;-0.26;0.32;0.14;0.06;-0.15;g1261;0.24;-0.07;0.15;-0.35;0.04;0.02;0.11;-0.12;g1261;0.24;-0.06;0.04;-0.1;-0.08;0.23;-0.04;-0.04
g1262;-0.09;-0.05;0.26;-0.04;0.4;-0.05;0.15;-0.29;g1262;0.45;0.29;0.36;0.13;-0.02;-0.05;0.21;-0.1;g1262;-0.11;-0.13;0.21;0.02;-0.1;0.43;0.18;0.03
g1263;0.42;0.13;0.1;0.01;0.04;-0.25;0.08;-0.05;g1263;0.12;-0.19;0.03;-0.04;-0.23;-0.06;-0.27;0;g1263;-0.04;-0.08;-0.08;-0.16;0.03;0.15;-0.02;0
g1264;-0.06;-0.18;0;-0.13;0.02;-0.11;-0.08;-0.13;g1264;-0.08;-0.15;2.14;0.14;-0.46;0.02;-0.56;-0.08;g1264;0.04;-0.15;0.09;0.11;0.06;0.26;0.2;-0.15
g1265;0.03;0.2;0.33;-0.25;0.45;-0.17;0.07;-0.07;g1265;0.08;0.05;0.09;-0.2;0.05;-0.24;-0.07;0.01;g1265;-0.02;0.29;0.01;0.19;0.07;-0.01;-0.07;0.24
g1266;-0.12;-0.02;0.41;-0.03;0.36;0.05;0.22;-0.38;g1266;-0.21;-0.16;0.12;-0.41;-0.13;-0.37;0.15;-0.23;g1266;-0.02;0.21;0.01;0.32;0.29;0.39;-0.02;0.21
g1267;-0.1;0.29;0.48;-0.18;0.71;0.09;-0.04;-0.35;g1267;-0.09;0.51;0.1;-0.23;-0.04;-0.41;0.38;0.1;g1267;-0.34;-0.03;-0.1;0.13;0.06;0.03;-0.2;-0.03
g1268;0.11;0.12;0.45;-0.25;0.65;0.19;0.03;-0.26;g1268;-0.25;0.12;0.16;-0.06;0.42;0.27;0.37;-0.03;g1268;-0.38;-0.04;0;0.12;-0.07;0.16;0.25;0.08
g1269;-0.11;0.45;0.58;-0.05;0.61;0.03;0.06;-0.3;g1269;-0.67;0.29;-0.11;-0.08;0.03;-0.25;0.32;-0.04;g1269;-0.26;-0.12;-0.12;-0.01;0.38;-0.18;-0.12;-0.1
g1270;-0.01;-0.11;0.46;-0.23;0.67;-0.14;-0.02;-0.28;g1270;-0.78;-0.01;-0.63;0.01;-0.18;-0.11;0.04;-0.05;g1270;-0.13;-0.09;-0.17;-0.09;-0.15;0.2;0.27;0.11
g1271;0.11;-0.01;0.47;0.03;-0.06;-0.13;-0.13;-0.14;g1271;0.83;-1.69;0.68;-1.48;0.89;-0.84;0.04;-0.23;g1271;0.05;-0.2;-0.09;-0.17;-0.07;-0.26;-0.05;0.12
g1272;0.28;-0.29;-0.05;0.14;0.29;0.12;0.18;-0.09;g1272;0.2;-0.7;-0.32;-0.21;-0.18;0.12;-0.01;-0.08;g1272;0.5;-0.07;-0.4;-0.2;-0.18;-0.62;-0.4;-0.13
g1273;0.13;-0.03;0.1;-0.15;-0.03;-0.15;0.15;-0.17;g1273;0.37;0.04;0.13;-0.03;-0.56;0.3;-0.3;-0.09;g1273;0.11;-0.15;-0.22;-0.13;0.04;0.04;-0.31;-0.26
g1274;-0.01;0;0.43;0.16;0.09;-0.25;0.12;-0.45;g1274;-0.21;0.36;-0.2;0.27;0.29;-0.09;-0.89;0;g1274;-0.41;0.22;0.36;0.31;0.39;0.26;0.24;0.24
g1275;0.17;0;0.14;0.05;0;-0.17;0.09;-0.26;g1275;0.02;0.02;0.17;0.16;-0.01;0.62;-0.47;0.1;g1275;0.34;-0.05;0.13;0.08;-0.33;0.06;0.28;0.15
g1276;0.04;-0.27;0.06;0.21;-0.16;-0.18;0.14;-0.08;g1276;0.08;-0.6;0;-0.22;0.45;0;-0.5;0;g1276;0.02;-0.06;0.1;-0.08;0.18;-0.06;-0.49;-0.02
g1277;0.01;-0.08;-0.02;-0.3;0.46;0.27;0.25;-0.3;g1277;-0.11;-0.13;-0.57;0.44;0.16;0.63;-0.02;0.69;g1277;0.72;0.18;-0.05;-0.21;0.22;-0.3;-0.46;-0.09
g1278;0.12;-0.17;0.29;0.26;0.08;-0.15;0.29;-0.17;g1278;-0.86;0.35;-0.66;0.59;0.02;0.28;-0.33;0.31;g1278;0.26;-0.03;0.01;0.06;0.17;-0.14;-0.17;0.14
g1279;0.18;0.52;0.63;0.17;0.53;-0.01;0.03;-0.16;g1279;0.42;0.37;0.1;0.01;-0.26;0.12;-0.09;0.47;g1279;0.69;-0.09;-0.11;-0.16;-0.22;-0.57;-0.27;-0.44
g1280;-0.21;0.35;0.27;0.36;0.69;0.26;-0.42;-0.41;g1280;0.15;-1.34;0.14;-0.36;0.26;0.73;0.44;0.24;g1280;0.04;-0.16;-0.16;-0.09;0.02;0.05;-0.26;0.14
g1281;0.3;0.22;0.15;-0.01;-0.09;-0.34;0.09;-0.35;g1281;0.62;-0.12;-0.1;-0.16;0.11;0.5;-0.14;-0.1;g1281;-0.2;0.13;-0.1;0.12;-0.32;0.22;0.36;-0.03
g1282;-0.1;0.08;0.08;0.23;0.24;-0.21;0.1;-0.23;g1282;0.12;-0.24;0.24;-0.29;0.32;0.16;0.42;0.48;g1282;-0.32;0.09;0.02;-0.05;0.13;0.12;0.05;0.16
g1283;-0.81;0.14;-0.23;0.39;1.95;-0.23;0.02;0;g1283;0.34;0.04;0;-0.46;-0.02;1.86;0.67;0.35;g1283;-0.22;-0.04;0.18;-0.51;0.08;-0.13;-0.73;-0.51
g1284;-0.21;0.37;-0.01;0.26;0.02;-0.12;0.02;-0.36;g1284;-0.11;0.08;-0.12;0.24;0.03;0.15;0.12;0.07;g1284;0.18;-0.3;-0.07;0.01;0.08;-0.11;0.05;0.21
g1285;0;0.07;0.35;-0.17;0.75;-0.01;-0.11;-0.37;g1285;0;0.12;0;-0.2;0;0.09;0;-0.05;g1285;-0.06;0.1;-0.09;-0.19;-0.09;-0.15;0.1;0.29
g1286;0.08;-0.04;-0.01;0.37;0.34;0.07;0.11;-0.15;g1286;-0.12;0.01;-0.22;-0.04;-0.01;-0.11;-0.09;0.41;g1286;0.05;-0.05;-0.07;-0.02;0.16;-0.13;0.04;0.02
g1287;-0.06;-0.01;0.28;-0.17;0.66;-0.08;-0.2;-0.21;g1287;-1.52;0.01;0;-0.09;-0.22;1.05;0;0;g1287;-0.09;0.08;0.03;-0.07;-0.16;0;0.26;0.03
g1288;0.34;0.2;0.03;0.14;0.25;-0.13;-0.1;-0.2;g1288;-0.23;-0.21;-0.42;-0.07;0.22;0.16;0.3;0;g1288;0.11;-0.44;-0.18;-0.03;0.01;0.04;-0.11;-0.05
g1289;0.17;-0.05;0.5;-0.07;0.7;-0.1;-0.07;-0.22;g1289;0;0.01;0;-0.08;0;0;0.88;0.14;g1289;-0.05;0.15;0.02;0.09;-0.25;0.02;0.23;-0.05
g1290;-0.27;0.04;0.24;0.25;0.49;0.12;-0.05;-0.05;g1290;-0.2;0;-0.22;0.02;0.05;0.12;-0.12;0.21;g1290;-0.19;0.22;0.01;0.19;0.26;-0.08;-0.19;-0.14
g1291;0.2;-0.15;0.14;-0.41;0.95;-0.23;-0.26;-0.24;g1291;0.28;0.37;0.05;0.05;-0.04;-0.15;-0.08;-0.06;g1291;-0.49;0.04;-0.07;0.08;-0.29;0.35;0.35;0.01
g1292;0.29;-0.2;0.06;-0.07;-0.17;-0.12;-0.01;0.07;g1292;0.21;0.13;-0.14;0.03;0.01;0.36;0.01;0.42;g1292;-0.32;0.08;0.45;0.32;-0.06;0.46;0.22;0.48
g1293;-0.21;-0.04;0.15;-0.11;-0.15;0.02;-0.04;-0.51;g1293;0.8;0.03;0.6;-0.16;-0.24;0.06;0.34;0.05;g1293;0.35;0.1;-0.15;-0.32;0.06;-0.2;-0.51;-0.18
g1294;0.15;0.02;-0.12;0.24;-0.18;0.16;-0.12;-0.07;g1294;0.47;-0.51;0.43;0.1;0.48;0.43;0.29;0.29;g1294;0.19;0.14;0.1;-0.19;0.07;0.05;0.21;0.14
g1295;0.46;-0.16;-0.11;-0.51;0.38;0.24;0.53;0.05;g1295;0.68;-0.46;-0.32;0.35;0.36;0.82;-0.14;0.4;g1295;0.27;0.46;0.31;0.22;0.43;0.27;-0.26;0.05
g1296;0;0.16;0.01;-0.06;-0.13;-0.2;0.28;-0.23;g1296;-0.03;0.21;-0.23;0.46;0.34;0.38;-0.24;0.18;g1296;0.09;0.21;0.01;0.21;0.13;0.36;-0.05;0.03
g1297;0.38;0;0.26;-0.03;0.45;-0.03;0.09;-0.11;g1297;0.3;0.2;-0.07;0.2;0;0.45;-0.18;0.52;g1297;0.82;-0.04;-0.02;-0.04;-0.12;-0.52;-0.29;-0.1
g1298;0;-0.11;0.29;0.19;0.15;0;0.34;-0.25;g1298;0;0;0;0;0;0;-0.15;0;g1298;0.35;-0.02;0.26;0.35;0.12;0.26;-0.04;0.51
g1299;0.09;-0.18;-0.04;-0.15;0.61;-0.17;0;-0.23;g1299;0.2;-0.14;0.25;0.04;-0.35;1.01;-0.14;-0.15;g1299;0.15;-0.06;0.08;0.13;-0.06;0.35;0.15;0.21
g1300;0;0.71;-0.06;-0.33;-0.44;-0.26;0.2;-0.24;g1300;0.32;0.06;-0.36;-0.04;0.1;0.17;0.43;0.22;g1300;0.09;0.32;0.05;-0.03;0.45;0;-0.34;-0.05
g1301;0.13;-0.07;0;-0.21;0.52;-0.13;-0.06;-0.06;g1301;0.36;-0.43;-0.17;-0.09;-0.41;1.34;0.03;0.19;g1301;0.14;0.14;0.14;0.08;0.06;0.1;0.06;0.02
g1302;0;-0.24;0.1;-0.12;-0.17;-0.17;0.21;-0.44;g1302;-0.56;0.16;-0.4;0.24;-0.07;0.38;0.07;0.34;g1302;-0.46;0.15;0.35;0.17;0.07;0.42;0.29;0.46
g1303;0.41;0.14;0.02;-0.35;-0.02;-0.45;0.37;-0.17;g1303;0.13;0.03;-0.09;0.05;-0.41;0.82;-0.82;0.09;g1303;0.07;0;-0.02;-0.25;0.18;0.11;-0.12;0.04
g1304;-0.31;-0.05;0.26;0.37;0.4;-0.16;0.18;-0.07;g1304;-0.04;0.12;0.03;0;0.09;-0.08;0.28;0.09;g1304;-0.61;0.06;-0.12;-0.09;-0.33;0.23;0.19;0.22
g1305;0.56;-0.56;0.08;-0.13;1.13;0.01;0.1;-0.21;g1305;0.8;-0.45;0;0.2;0.39;0.95;0.4;0.27;g1305;-0.22;0.31;-0.03;-0.03;0.03;0.03;0.07;0
g1306;-0.48;-0.17;0.36;-0.02;0.18;-0.26;-0.03;0.03;g1306;-0.33;0.12;-0.14;0.07;0.21;0.25;0.16;0.14;g1306;-0.12;0.07;0.08;0.14;-0.2;0.09;0.2;0.11
g1307;0.18;-0.98;-0.4;-0.23;1.59;0.67;0.72;-0.23;g1307;-0.6;-0.54;0;0.23;0;1.25;0;0.2;g1307;0.68;0.43;-0.25;0.6;0.1;-0.25;-0.7;0.2
g1308;0.03;-0.28;0.17;0.17;0.5;0.11;0.05;-0.09;g1308;-0.01;0.19;-0.29;0.22;0.08;0;0.28;-0.03;g1308;-0.09;0.3;0.19;0.3;-0.23;0.22;0.25;0.23
g1309;0.22;-0.33;0.15;-0.2;1.4;-0.26;0.04;-0.16;g1309;-0.26;0.13;-0.2;0.07;-0.4;0.65;-0.06;-0.04;g1309;0.01;0.12;-0.21;-0.1;-0.32;-0.15;0.05;0.01
g1310;-0.22;0.12;0.57;0.23;0.64;0.08;0.08;0.03;g1310;-0.73;0.45;-0.37;0.29;-0.19;0.22;-0.55;0.17;g1310;0.55;0.09;-0.16;0.32;0;-0.27;-0.45;-0.09
g1311;0.38;-0.04;0.18;-0.14;0.9;-0.25;-0.01;-0.05;g1311;-1.32;0.25;0;-0.5;0;0.62;-3.08;0.24;g1311;0.02;0.2;-0.1;-0.01;-0.07;-0.24;0;0.16
g1312;-0.06;-0.04;0.28;0.28;0.48;0.22;-0.03;-0.03;g1312;-0.15;-0.02;0.09;-0.29;0.47;0;0.56;-0.18;g1312;-0.24;0.05;-0.01;-0.02;-0.26;-0.26;0.18;0.05
g1313;0.05;-0.12;0.18;-0.08;0.1;-0.15;0.17;-0.1;g1313;0;-0.2;0;-0.41;1.69;0;0;0.22;g1313;-0.35;-0.44;-0.24;-0.15;0.14;-0.01;0.04;0.18
g1314;-0.06;0.16;0.12;0.16;0.49;-0.2;-0.11;-0.27;g1314;-0.49;-0.32;-0.28;0.55;0.04;0.24;0.05;0.25;g1314;-0.28;0.24;0.14;0.17;0.25;0;0.24;0.1
g1315;0.31;-0.04;0.47;-0.08;0.04;-0.18;0.07;-0.24;g1315;0;-0.12;0;-0.15;0;0;0;0.03;g1315;0.1;0.01;-0.17;-0.03;0.18;-0.23;0.18;-0.17
g1316;0.11;0.2;-0.05;0.04;-0.26;-0.28;0.18;-0.31;g1316;0.45;-0.23;0.08;-0.05;-0.19;-0.32;0.04;0.27;g1316;0.03;-0.08;-0.17;-0.19;0.29;-0.12;-0.48;-0.19
g1317;0.37;0.08;0.05;-0.41;0.53;-0.25;-0.03;-0.29;g1317;0.62;-0.05;0.36;-0.11;-0.17;0.26;0.09;0.15;g1317;0.07;0.07;-0.02;-0.27;0.03;-0.04;-0.07;-0.13
g1318;0.02;-0.01;0.07;-0.01;-0.03;-0.17;0.18;-0.17;g1318;0.22;-0.21;-0.01;-0.11;0.33;-0.59;0.28;0.23;g1318;-0.09;-0.18;0.2;0.23;-0.02;0.17;0.05;0.18
g1319;0.28;-0.16;0.16;-0.25;0.49;-0.23;0.02;-0.04;g1319;0.83;0.02;0.48;-0.01;0.04;1.09;-0.08;-0.25;g1319;0.52;0.22;-0.04;0.22;-0.04;0;-0.19;0.09
g1320;0.06;-0.05;0.04;-0.18;-0.14;0.04;0.18;-0.32;g1320;0.08;0.1;0;0.42;0;0.4;-0.32;0.29;g1320;-0.14;0.02;0.05;0.05;0.27;0.26;-0.06;0.15
g1321;0.24;0.02;0.05;-0.14;1.02;-0.41;-0.19;-0.29;g1321;-0.02;0;0.08;0;-0.44;1.17;-0.21;0;g1321;0.44;0.09;0.03;0.09;-0.15;0.09;-0.08;0.05
g1322;0.08;0.24;0.35;0.03;0.08;-0.13;0.14;-0.25;g1322;0.09;-0.05;-0.13;0.29;-0.17;0.21;-0.05;-0.05;g1322;0.62;-0.12;0.07;0.45;-0.36;-0.25;-0.14;-0.03
